"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68","","KPoint 69","","KPoint 70","","KPoint 71",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.8237","2.0","-72.8238","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.8238","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8238","2.0","-72.8237","2.0","-72.8237","2.0","-72.8237","2.0","-72.82390000000001","2.0","-72.82390000000001","2.0","-72.82390000000001","2.0","-72.82390000000001","2.0","-72.8238","2.0","-72.8238","2.0","-72.8237","2.0"
"2","-72.7903","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7906","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7903","2.0","-72.7902","2.0","-72.7902","2.0","-72.7903","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7903","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7906","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0"
"3","-72.7902","2.0","-72.7903","2.0","-72.7903","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7903","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7902","2.0","-72.7902","2.0","-72.7902","2.0","-72.7902","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7902","2.0","-72.7902","2.0","-72.7903","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.79050000000001","2.0","-72.79050000000001","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7903","2.0","-72.7904","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7903","2.0","-72.7904","2.0","-72.7903","2.0","-72.7903","2.0","-72.7902","2.0","-72.7903","2.0","-72.7903","2.0"
"4","-72.7711","2.0","-72.76910000000001","2.0","-72.7692","2.0","-72.7698","2.0","-72.7699","2.0","-72.76870000000001","2.0","-72.7689","2.0","-72.769","2.0","-72.7693","2.0","-72.76960000000001","2.0","-72.76910000000001","2.0","-72.76950000000001","2.0","-72.76910000000001","2.0","-72.7692","2.0","-72.76950000000001","2.0","-72.7702","2.0","-72.77000000000001","2.0","-72.7702","2.0","-72.7694","2.0","-72.7698","2.0","-72.7701","2.0","-72.7697","2.0","-72.7707","2.0","-72.7698","2.0","-72.7689","2.0","-72.7701","2.0","-72.7698","2.0","-72.77040000000001","2.0","-72.7694","2.0","-72.76830000000001","2.0","-72.7693","2.0","-72.7681","2.0","-72.7703","2.0","-72.77040000000001","2.0","-72.76830000000001","2.0","-72.7705","2.0","-72.7707","2.0","-72.7711","2.0","-72.77090000000001","2.0","-72.7685","2.0","-72.7711","2.0","-72.77080000000001","2.0","-72.77080000000001","2.0","-72.7706","2.0","-72.7701","2.0","-72.76910000000001","2.0","-72.7693","2.0","-72.7685","2.0","-72.7686","2.0","-72.76910000000001","2.0","-72.7689","2.0","-72.7694","2.0","-72.7694","2.0","-72.77080000000001","2.0","-72.77080000000001","2.0","-72.7693","2.0","-72.7703","2.0","-72.7697","2.0","-72.7689","2.0","-72.7703","2.0","-72.7702","2.0","-72.76960000000001","2.0","-72.7702","2.0","-72.7698","2.0","-72.7706","2.0","-72.7707","2.0","-72.7705","2.0","-72.771","2.0","-72.77120000000001","2.0","-72.7711","2.0","-72.771","2.0"
"5","-72.7681","2.0","-72.76870000000001","2.0","-72.7693","2.0","-72.7693","2.0","-72.7693","2.0","-72.7705","2.0","-72.7693","2.0","-72.76830000000001","2.0","-72.77000000000001","2.0","-72.769","2.0","-72.76830000000001","2.0","-72.769","2.0","-72.7685","2.0","-72.7694","2.0","-72.7692","2.0","-72.7688","2.0","-72.7693","2.0","-72.7689","2.0","-72.7701","2.0","-72.76910000000001","2.0","-72.76870000000001","2.0","-72.7697","2.0","-72.7685","2.0","-72.76830000000001","2.0","-72.7693","2.0","-72.7684","2.0","-72.7692","2.0","-72.7684","2.0","-72.76950000000001","2.0","-72.7706","2.0","-72.7692","2.0","-72.76910000000001","2.0","-72.76830000000001","2.0","-72.76870000000001","2.0","-72.77090000000001","2.0","-72.7685","2.0","-72.768","2.0","-72.768","2.0","-72.7685","2.0","-72.7707","2.0","-72.768","2.0","-72.76830000000001","2.0","-72.7684","2.0","-72.76830000000001","2.0","-72.76830000000001","2.0","-72.7697","2.0","-72.7685","2.0","-72.76950000000001","2.0","-72.7702","2.0","-72.77000000000001","2.0","-72.7692","2.0","-72.7684","2.0","-72.7686","2.0","-72.7686","2.0","-72.7685","2.0","-72.7698","2.0","-72.7692","2.0","-72.7693","2.0","-72.7703","2.0","-72.769","2.0","-72.76820000000001","2.0","-72.7693","2.0","-72.7681","2.0","-72.7686","2.0","-72.7684","2.0","-72.76830000000001","2.0","-72.7684","2.0","-72.76830000000001","2.0","-72.7681","2.0","-72.7681","2.0","-72.7681","2.0"
"6","-72.76820000000001","2.0","-72.76960000000001","2.0","-72.7689","2.0","-72.7684","2.0","-72.76830000000001","2.0","-72.7684","2.0","-72.76950000000001","2.0","-72.7705","2.0","-72.7685","2.0","-72.76910000000001","2.0","-72.7702","2.0","-72.769","2.0","-72.77000000000001","2.0","-72.769","2.0","-72.769","2.0","-72.7686","2.0","-72.7685","2.0","-72.7685","2.0","-72.7681","2.0","-72.7685","2.0","-72.769","2.0","-72.7685","2.0","-72.7684","2.0","-72.7693","2.0","-72.76950000000001","2.0","-72.7688","2.0","-72.7685","2.0","-72.76870000000001","2.0","-72.76830000000001","2.0","-72.7685","2.0","-72.769","2.0","-72.7702","2.0","-72.7689","2.0","-72.7684","2.0","-72.76830000000001","2.0","-72.7684","2.0","-72.7685","2.0","-72.768","2.0","-72.7681","2.0","-72.768","2.0","-72.76790000000001","2.0","-72.76830000000001","2.0","-72.7685","2.0","-72.7688","2.0","-72.76910000000001","2.0","-72.7688","2.0","-72.7699","2.0","-72.7697","2.0","-72.7688","2.0","-72.7685","2.0","-72.76950000000001","2.0","-72.7698","2.0","-72.76960000000001","2.0","-72.76830000000001","2.0","-72.76830000000001","2.0","-72.7685","2.0","-72.76820000000001","2.0","-72.7685","2.0","-72.76830000000001","2.0","-72.7681","2.0","-72.76910000000001","2.0","-72.7685","2.0","-72.76910000000001","2.0","-72.76910000000001","2.0","-72.76870000000001","2.0","-72.76870000000001","2.0","-72.7686","2.0","-72.76820000000001","2.0","-72.768","2.0","-72.768","2.0","-72.7681","2.0"
"7","-24.4697","2.0","-24.469800000000003","2.0","-24.469800000000003","2.0","-24.469900000000003","2.0","-24.470000000000002","2.0","-24.470100000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.4703","2.0","-24.4703","2.0","-24.4704","2.0","-24.4705","2.0","-24.4706","2.0","-24.4707","2.0","-24.4708","2.0","-24.4709","2.0","-24.4709","2.0","-24.4709","2.0","-24.4709","2.0","-24.4708","2.0","-24.4707","2.0","-24.4706","2.0","-24.4705","2.0","-24.4704","2.0","-24.470200000000002","2.0","-24.470100000000002","2.0","-24.470000000000002","2.0","-24.469900000000003","2.0","-24.469800000000003","2.0","-24.4697","2.0","-24.4697","2.0","-24.4697","2.0","-24.469800000000003","2.0","-24.469800000000003","2.0","-24.469800000000003","2.0","-24.469800000000003","2.0","-24.469900000000003","2.0","-24.469900000000003","2.0","-24.469900000000003","2.0","-24.470000000000002","2.0","-24.470000000000002","2.0","-24.470100000000002","2.0","-24.470100000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.470200000000002","2.0","-24.4703","2.0","-24.4704","2.0","-24.4705","2.0","-24.4706","2.0","-24.4707","2.0","-24.4708","2.0","-24.4709","2.0","-24.4709","2.0","-24.4709","2.0","-24.4708","2.0","-24.4708","2.0","-24.4707","2.0","-24.4706","2.0","-24.4705","2.0","-24.4704","2.0","-24.4703","2.0","-24.470200000000002","2.0","-24.470100000000002","2.0","-24.470000000000002","2.0","-24.469900000000003","2.0","-24.469900000000003","2.0","-24.469900000000003","2.0"
"8","-24.4658","2.0","-24.4658","2.0","-24.4659","2.0","-24.466","2.0","-24.466","2.0","-24.4661","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4663","2.0","-24.4663","2.0","-24.4663","2.0","-24.4663","2.0","-24.4664","2.0","-24.4664","2.0","-24.4665","2.0","-24.4665","2.0","-24.4664","2.0","-24.4664","2.0","-24.4663","2.0","-24.4662","2.0","-24.4661","2.0","-24.466","2.0","-24.466","2.0","-24.4659","2.0","-24.4659","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465600000000002","2.0","-24.465600000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465600000000002","2.0","-24.465700000000002","2.0","-24.4658","2.0","-24.4659","2.0","-24.466","2.0","-24.4661","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4662","2.0","-24.4663","2.0","-24.4663","2.0","-24.4663","2.0","-24.4663","2.0","-24.4664","2.0","-24.4664","2.0","-24.4665","2.0","-24.4665","2.0","-24.4664","2.0","-24.4664","2.0","-24.4663","2.0","-24.4662","2.0","-24.4661","2.0","-24.466","2.0","-24.466","2.0","-24.4659","2.0","-24.4658","2.0","-24.465700000000002","2.0","-24.465600000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0"
"9","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.4658","2.0","-24.4658","2.0","-24.4659","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.4659","2.0","-24.4659","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.4658","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465600000000002","2.0","-24.465600000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465600000000002","2.0","-24.465600000000002","2.0","-24.465600000000002","2.0","-24.465600000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.465700000000002","2.0","-24.4658","2.0","-24.4659","2.0","-24.4659","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.466","2.0","-24.4661","2.0","-24.4661","2.0","-24.4661","2.0","-24.4661","2.0","-24.466","2.0","-24.4659","2.0","-24.4658","2.0","-24.465700000000002","2.0","-24.465600000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0","-24.465500000000002","2.0"
