"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","25","-1.053","2.0","26","3.2733000000000003","0.0","4.3263"
"2","0.00287356","0.00287356","0.00287356","25","-1.053","2.0","26","3.2734","0.0","4.3264"
"3","0.00574713","0.00574713","0.00574713","25","-1.0531","2.0","26","3.2739","0.0","4.327"
"4","0.00862069","0.00862069","0.00862069","25","-1.0532","2.0","26","3.2748000000000004","0.0","4.328"
"5","0.01149425","0.01149425","0.01149425","25","-1.0534","2.0","26","3.2760000000000002","0.0","4.329400000000001"
"6","0.01436782","0.01436782","0.01436782","25","-1.0535999999999999","2.0","26","3.2775000000000003","0.0","4.3311"
"7","0.01724138","0.01724138","0.01724138","25","-1.0537999999999998","2.0","26","3.2792999999999997","0.0","4.3331"
"8","0.02011494","0.02011494","0.02011494","25","-1.0541","2.0","26","3.2815","0.0","4.3355999999999995"
"9","0.02298851","0.02298851","0.02298851","25","-1.0545","2.0","26","3.2840000000000003","0.0","4.3385"
"10","0.02586207","0.02586207","0.02586207","25","-1.0548","2.0","26","3.2868999999999997","0.0","4.3416999999999994"
"11","0.02873563","0.02873563","0.02873563","25","-1.0552","2.0","26","3.2901000000000002","0.0","4.3453"
"12","0.03160919","0.03160919","0.03160919","25","-1.0556999999999999","2.0","26","3.2935000000000003","0.0","4.349200000000001"
"13","0.03448276","0.03448276","0.03448276","25","-1.0560999999999998","2.0","26","3.2974","0.0","4.3535"
"14","0.03735632","0.03735632","0.03735632","25","-1.0566","2.0","26","3.3015000000000003","0.0","4.3581"
"15","0.04022988","0.04022988","0.04022988","25","-1.0571","2.0","26","3.3059","0.0","4.3629999999999995"
"16","0.04310345","0.04310345","0.04310345","25","-1.0576999999999999","2.0","26","3.3106000000000004","0.0","4.3683000000000005"
"17","0.04597701","0.04597701","0.04597701","25","-1.0581999999999998","2.0","26","3.3157","0.0","4.3739"
