"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.8053","2.0","-19.8053","2.0","-19.8052","2.0","-19.8051","2.0","-19.805","2.0","-19.8049","2.0","-19.8048","2.0","-19.8046","2.0","-19.8044","2.0","-19.8042","2.0","-19.804100000000002","2.0","-19.8038","2.0","-19.8036","2.0","-19.8034","2.0","-19.8033","2.0","-19.8031","2.0","-19.8029","2.0","-19.8027","2.0","-19.8026","2.0","-19.8025","2.0","-19.8024","2.0","-19.8023","2.0","-19.8023","2.0","-19.8023","2.0","-19.8023","2.0","-19.8023","2.0","-19.8024","2.0","-19.8025","2.0","-19.8026","2.0","-19.8027","2.0","-19.8029","2.0","-19.803","2.0","-19.8032","2.0","-19.8033","2.0","-19.8035","2.0","-19.8036","2.0","-19.8038","2.0","-19.8039","2.0","-19.804","2.0","-19.804100000000002","2.0","-19.804100000000002","2.0","-19.8042","2.0","-19.8042","2.0","-19.804100000000002","2.0","-19.804","2.0","-19.8039","2.0","-19.8038","2.0","-19.8036","2.0","-19.8035","2.0","-19.8034","2.0","-19.8033","2.0","-19.8032","2.0","-19.8031","2.0","-19.8031","2.0","-19.8031","2.0","-19.8031","2.0","-19.803","2.0","-19.803","2.0","-19.8029","2.0","-19.8028","2.0","-19.8027","2.0","-19.8026","2.0","-19.8026","2.0","-19.8025","2.0","-19.8024","2.0","-19.8023","2.0","-19.8023","2.0","-19.8023","2.0"
"2","-16.5965","2.0","-16.596400000000003","2.0","-16.5961","2.0","-16.595599999999997","2.0","-16.595","2.0","-16.5941","2.0","-16.5932","2.0","-16.592100000000002","2.0","-16.5908","2.0","-16.5895","2.0","-16.5881","2.0","-16.5867","2.0","-16.5853","2.0","-16.5838","2.0","-16.5824","2.0","-16.5811","2.0","-16.5798","2.0","-16.578699999999998","2.0","-16.5776","2.0","-16.5768","2.0","-16.5761","2.0","-16.5756","2.0","-16.5753","2.0","-16.575200000000002","2.0","-16.5753","2.0","-16.575499999999998","2.0","-16.576","2.0","-16.5766","2.0","-16.5773","2.0","-16.578200000000002","2.0","-16.5792","2.0","-16.5803","2.0","-16.581400000000002","2.0","-16.5826","2.0","-16.5837","2.0","-16.5848","2.0","-16.585900000000002","2.0","-16.5868","2.0","-16.5875","2.0","-16.588","2.0","-16.5884","2.0","-16.5885","2.0","-16.5885","2.0","-16.5884","2.0","-16.5883","2.0","-16.5882","2.0","-16.5881","2.0","-16.588","2.0","-16.587899999999998","2.0","-16.5878","2.0","-16.587699999999998","2.0","-16.587699999999998","2.0","-16.587600000000002","2.0","-16.587600000000002","2.0","-16.587600000000002","2.0","-16.587400000000002","2.0","-16.5869","2.0","-16.586","2.0","-16.5848","2.0","-16.5835","2.0","-16.582","2.0","-16.5805","2.0","-16.579","2.0","-16.5777","2.0","-16.576700000000002","2.0","-16.5759","2.0","-16.575400000000002","2.0","-16.575200000000002","2.0"
"3","-16.5721","2.0","-16.572000000000003","2.0","-16.5718","2.0","-16.5713","2.0","-16.570700000000002","2.0","-16.5699","2.0","-16.569000000000003","2.0","-16.5679","2.0","-16.5668","2.0","-16.5655","2.0","-16.5642","2.0","-16.5629","2.0","-16.561500000000002","2.0","-16.5601","2.0","-16.558799999999998","2.0","-16.5576","2.0","-16.5564","2.0","-16.555300000000003","2.0","-16.554299999999998","2.0","-16.5535","2.0","-16.5529","2.0","-16.5524","2.0","-16.5521","2.0","-16.552","2.0","-16.5521","2.0","-16.552500000000002","2.0","-16.5531","2.0","-16.5539","2.0","-16.5548","2.0","-16.5559","2.0","-16.5571","2.0","-16.558300000000003","2.0","-16.5595","2.0","-16.5607","2.0","-16.561799999999998","2.0","-16.5628","2.0","-16.5637","2.0","-16.564500000000002","2.0","-16.5651","2.0","-16.5656","2.0","-16.5658","2.0","-16.5659","2.0","-16.5657","2.0","-16.5653","2.0","-16.564500000000002","2.0","-16.5634","2.0","-16.5621","2.0","-16.5608","2.0","-16.5593","2.0","-16.5579","2.0","-16.5566","2.0","-16.555500000000002","2.0","-16.5547","2.0","-16.5541","2.0","-16.5539","2.0","-16.5539","2.0","-16.5539","2.0","-16.553800000000003","2.0","-16.5537","2.0","-16.5535","2.0","-16.5533","2.0","-16.5531","2.0","-16.552799999999998","2.0","-16.552599999999998","2.0","-16.5524","2.0","-16.5522","2.0","-16.5521","2.0","-16.552","2.0"
"4","-16.5283","2.0","-16.5283","2.0","-16.5283","2.0","-16.528399999999998","2.0","-16.528399999999998","2.0","-16.5285","2.0","-16.5285","2.0","-16.5286","2.0","-16.5287","2.0","-16.5287","2.0","-16.5288","2.0","-16.5289","2.0","-16.529","2.0","-16.5291","2.0","-16.5292","2.0","-16.5293","2.0","-16.5293","2.0","-16.529400000000003","2.0","-16.5295","2.0","-16.5295","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.5295","2.0","-16.5295","2.0","-16.5295","2.0","-16.529400000000003","2.0","-16.529400000000003","2.0","-16.5293","2.0","-16.5293","2.0","-16.5292","2.0","-16.5292","2.0","-16.5291","2.0","-16.5291","2.0","-16.5291","2.0","-16.5291","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.529","2.0","-16.5291","2.0","-16.5291","2.0","-16.5292","2.0","-16.5292","2.0","-16.5293","2.0","-16.529400000000003","2.0","-16.529400000000003","2.0","-16.5295","2.0","-16.5295","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0","-16.529600000000002","2.0"
"5","-16.5104","2.0","-16.5104","2.0","-16.5104","2.0","-16.5105","2.0","-16.5105","2.0","-16.5106","2.0","-16.5106","2.0","-16.5107","2.0","-16.5108","2.0","-16.5109","2.0","-16.511","2.0","-16.5111","2.0","-16.511200000000002","2.0","-16.5113","2.0","-16.511400000000002","2.0","-16.511499999999998","2.0","-16.5116","2.0","-16.511699999999998","2.0","-16.511699999999998","2.0","-16.5118","2.0","-16.5119","2.0","-16.5119","2.0","-16.5119","2.0","-16.5119","2.0","-16.5119","2.0","-16.5119","2.0","-16.5118","2.0","-16.511699999999998","2.0","-16.5116","2.0","-16.511499999999998","2.0","-16.511400000000002","2.0","-16.5113","2.0","-16.5111","2.0","-16.511","2.0","-16.5109","2.0","-16.5108","2.0","-16.5107","2.0","-16.5106","2.0","-16.5105","2.0","-16.5104","2.0","-16.5104","2.0","-16.5104","2.0","-16.5104","2.0","-16.5104","2.0","-16.5105","2.0","-16.5105","2.0","-16.5106","2.0","-16.5107","2.0","-16.5108","2.0","-16.5108","2.0","-16.5109","2.0","-16.511","2.0","-16.511","2.0","-16.511","2.0","-16.511","2.0","-16.5111","2.0","-16.5111","2.0","-16.511200000000002","2.0","-16.511200000000002","2.0","-16.5113","2.0","-16.511400000000002","2.0","-16.511499999999998","2.0","-16.5116","2.0","-16.511699999999998","2.0","-16.5118","2.0","-16.5119","2.0","-16.5119","2.0","-16.5119","2.0"
"6","-16.5061","2.0","-16.5061","2.0","-16.5061","2.0","-16.5061","2.0","-16.5062","2.0","-16.5062","2.0","-16.5063","2.0","-16.5064","2.0","-16.5064","2.0","-16.506500000000003","2.0","-16.5066","2.0","-16.506700000000002","2.0","-16.5068","2.0","-16.5069","2.0","-16.506999999999998","2.0","-16.5071","2.0","-16.507199999999997","2.0","-16.507199999999997","2.0","-16.5073","2.0","-16.5074","2.0","-16.5074","2.0","-16.5074","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5074","2.0","-16.5074","2.0","-16.5074","2.0","-16.5074","2.0","-16.5073","2.0","-16.5073","2.0","-16.507199999999997","2.0","-16.507199999999997","2.0","-16.5071","2.0","-16.5071","2.0","-16.506999999999998","2.0","-16.506999999999998","2.0","-16.506999999999998","2.0","-16.5069","2.0","-16.5069","2.0","-16.5069","2.0","-16.5069","2.0","-16.5069","2.0","-16.5069","2.0","-16.506999999999998","2.0","-16.506999999999998","2.0","-16.5071","2.0","-16.5071","2.0","-16.507199999999997","2.0","-16.5073","2.0","-16.5073","2.0","-16.5074","2.0","-16.5074","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0","-16.5075","2.0"
"7","-12.8461","2.0","-12.8465","2.0","-12.8477","2.0","-12.8495","2.0","-12.8517","2.0","-12.8542","2.0","-12.8566","2.0","-12.8588","2.0","-12.8606","2.0","-12.8619","2.0","-12.8627","2.0","-12.8628","2.0","-12.862400000000001","2.0","-12.8615","2.0","-12.8601","2.0","-12.8584","2.0","-12.8565","2.0","-12.8546","2.0","-12.8526","2.0","-12.8509","2.0","-12.8494","2.0","-12.8482","2.0","-12.8475","2.0","-12.8473","2.0","-12.8474","2.0","-12.8479","2.0","-12.8486","2.0","-12.8493","2.0","-12.85","2.0","-12.8505","2.0","-12.8506","2.0","-12.8503","2.0","-12.8494","2.0","-12.848","2.0","-12.8461","2.0","-12.8439","2.0","-12.8415","2.0","-12.8392","2.0","-12.8371","2.0","-12.8354","2.0","-12.8344","2.0","-12.834","2.0","-12.8346","2.0","-12.8362","2.0","-12.8387","2.0","-12.8421","2.0","-12.8461","2.0","-12.8504","2.0","-12.8549","2.0","-12.8591","2.0","-12.863","2.0","-12.8662","2.0","-12.8686","2.0","-12.8701","2.0","-12.8707","2.0","-12.8703","2.0","-12.8694","2.0","-12.8679","2.0","-12.8658","2.0","-12.8634","2.0","-12.8607","2.0","-12.8578","2.0","-12.8551","2.0","-12.852500000000001","2.0","-12.8503","2.0","-12.848700000000001","2.0","-12.8476","2.0","-12.8473","2.0"
"8","-12.379","2.0","-12.3767","2.0","-12.3699","2.0","-12.3588","2.0","-12.3438","2.0","-12.3251","2.0","-12.3034","2.0","-12.2789","2.0","-12.2523","2.0","-12.224","2.0","-12.1947","2.0","-12.1649","2.0","-12.1352","2.0","-12.1064","2.0","-12.0793","2.0","-12.0546","2.0","-12.0331","2.0","-12.015600000000001","2.0","-12.0023","2.0","-11.9931","2.0","-11.9876","2.0","-11.9846","2.0","-11.9833","2.0","-11.9829","2.0","-11.983600000000001","2.0","-11.9857","2.0","-11.9896","2.0","-11.995800000000001","2.0","-12.0047","2.0","-12.0164","2.0","-12.031","2.0","-12.0481","2.0","-12.0669","2.0","-12.0866","2.0","-12.106300000000001","2.0","-12.1251","2.0","-12.1423","2.0","-12.1573","2.0","-12.1694","2.0","-12.1783","2.0","-12.1838","2.0","-12.1856","2.0","-12.184","2.0","-12.1792","2.0","-12.1713","2.0","-12.1607","2.0","-12.1475","2.0","-12.1325","2.0","-12.1161","2.0","-12.0992","2.0","-12.0829","2.0","-12.068200000000001","2.0","-12.0565","2.0","-12.0489","2.0","-12.0462","2.0","-12.0454","2.0","-12.0428","2.0","-12.0387","2.0","-12.0333","2.0","-12.0268","2.0","-12.0195","2.0","-12.0119","2.0","-12.0043","2.0","-11.9974","2.0","-11.9914","2.0","-11.9868","2.0","-11.9839","2.0","-11.9829","2.0"
"9","-11.668","2.0","-11.6694","2.0","-11.6738","2.0","-11.6809","2.0","-11.6905","2.0","-11.7025","2.0","-11.7164","2.0","-11.7319","2.0","-11.7486","2.0","-11.7661","2.0","-11.7841","2.0","-11.8021","2.0","-11.8197","2.0","-11.836500000000001","2.0","-11.8522","2.0","-11.8664","2.0","-11.8787","2.0","-11.889","2.0","-11.8969","2.0","-11.9024","2.0","-11.9059","2.0","-11.9079","2.0","-11.9088","2.0","-11.9091","2.0","-11.9085","2.0","-11.907","2.0","-11.9046","2.0","-11.9016","2.0","-11.8982","2.0","-11.8948","2.0","-11.8915","2.0","-11.8888","2.0","-11.8867","2.0","-11.8853","2.0","-11.8847","2.0","-11.8848","2.0","-11.8855","2.0","-11.8865","2.0","-11.8876","2.0","-11.8886","2.0","-11.8892","2.0","-11.8895","2.0","-11.8889","2.0","-11.8873","2.0","-11.8848","2.0","-11.8814","2.0","-11.8775","2.0","-11.8732","2.0","-11.8689","2.0","-11.864700000000001","2.0","-11.8609","2.0","-11.8577","2.0","-11.8553","2.0","-11.8538","2.0","-11.8533","2.0","-11.8541","2.0","-11.8565","2.0","-11.8603","2.0","-11.8653","2.0","-11.8712","2.0","-11.8777","2.0","-11.8844","2.0","-11.891","2.0","-11.8969","2.0","-11.902","2.0","-11.9058","2.0","-11.9082","2.0","-11.9091","2.0"
