"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68","","KPoint 69","","KPoint 70","","KPoint 71","","KPoint 72",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7162","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7162","2.0","-68.7163","2.0","-68.7162","2.0","-68.7162","2.0","-68.7163","2.0","-68.7163","2.0","-68.7162","2.0","-68.7163","2.0","-68.7163","2.0","-68.7162","2.0","-68.7163","2.0","-68.71640000000001","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7163","2.0","-68.7162","2.0"
"2","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6615","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6615","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6613","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0"
"3","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6613","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.66120000000001","2.0","-68.6613","2.0","-68.6613","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6614","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.66120000000001","2.0","-68.6613","2.0","-68.6613","2.0","-68.6613","2.0"
"4","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6404","2.0","-68.6404","2.0","-68.6403","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6405","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6405","2.0","-68.6405","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6405","2.0","-68.6405","2.0","-68.6405","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0"
"5","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6404","2.0","-68.6403","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6404","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.64020000000001","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.64020000000001","2.0","-68.6403","2.0","-68.6403","2.0","-68.6403","2.0"
"6","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0","-68.63300000000001","2.0","-68.6331","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.63300000000001","2.0","-68.6329","2.0"
"7","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.209799999999998","2.0","-22.209799999999998","2.0","-22.2099","2.0","-22.2099","2.0","-22.21","2.0","-22.21","2.0","-22.21","2.0","-22.21","2.0","-22.2101","2.0","-22.2101","2.0","-22.2101","2.0","-22.2101","2.0","-22.2101","2.0","-22.2101","2.0","-22.2102","2.0","-22.2102","2.0","-22.2103","2.0","-22.2104","2.0","-22.2104","2.0","-22.2105","2.0","-22.2106","2.0","-22.2106","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2107","2.0","-22.2106","2.0","-22.2106","2.0","-22.2105","2.0","-22.2104","2.0","-22.2103","2.0","-22.2103","2.0","-22.2102","2.0","-22.2101","2.0","-22.21","2.0","-22.21","2.0","-22.2099","2.0","-22.209799999999998","2.0","-22.209799999999998","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.2096","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0","-22.209699999999998","2.0"
"8","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.206","2.0","-22.206","2.0","-22.2061","2.0","-22.2061","2.0","-22.2061","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2062","2.0","-22.2063","2.0","-22.2063","2.0","-22.2063","2.0","-22.2063","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2064","2.0","-22.2063","2.0","-22.2063","2.0","-22.2062","2.0","-22.2062","2.0","-22.2061","2.0","-22.2061","2.0","-22.206","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2056","2.0","-22.2056","2.0","-22.2056","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0"
"9","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.206","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2059","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2058","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2057","2.0","-22.2056","2.0","-22.2056","2.0","-22.2056","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0","-22.2055","2.0"
