"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.533","2.0","-19.533","2.0","-19.533","2.0","-19.5329","2.0","-19.5329","2.0","-19.533","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0","-19.5329","2.0"
"2","-19.5328","2.0","-19.5329","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5329","2.0","-19.5329","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0"
"3","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0"
"4","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0","-19.5328","2.0"
"5","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0"
"6","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5168","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0"
"7","-19.5168","2.0","-19.5168","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5168","2.0","-19.5169","2.0","-19.5168","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0","-19.5169","2.0"
"8","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5168","2.0","-19.5169","2.0","-19.5169","2.0","-19.5168","2.0","-19.5169","2.0","-19.5169","2.0"
"9","-16.4661","2.0","-16.4661","2.0","-16.464199999999998","2.0","-16.4641","2.0","-16.4641","2.0","-16.4636","2.0","-16.4636","2.0","-16.4636","2.0","-16.4615","2.0","-16.4615","2.0","-16.4615","2.0","-16.4615","2.0","-16.4615","2.0","-16.4615","2.0"
"10","-16.465899999999998","2.0","-16.466","2.0","-16.4638","2.0","-16.4639","2.0","-16.4639","2.0","-16.4635","2.0","-16.4636","2.0","-16.4635","2.0","-16.461299999999998","2.0","-16.461299999999998","2.0","-16.461299999999998","2.0","-16.461299999999998","2.0","-16.461299999999998","2.0","-16.461299999999998","2.0"
"11","-16.459699999999998","2.0","-16.4593","2.0","-16.461","2.0","-16.4607","2.0","-16.4607","2.0","-16.459","2.0","-16.459","2.0","-16.459","2.0","-16.458099999999998","2.0","-16.4578","2.0","-16.4579","2.0","-16.458099999999998","2.0","-16.4578","2.0","-16.4579","2.0"
"12","-16.4585","2.0","-16.4587","2.0","-16.4601","2.0","-16.4603","2.0","-16.4603","2.0","-16.459","2.0","-16.459","2.0","-16.459","2.0","-16.4573","2.0","-16.4575","2.0","-16.4575","2.0","-16.4573","2.0","-16.4575","2.0","-16.4575","2.0"
"13","-16.4569","2.0","-16.4569","2.0","-16.4542","2.0","-16.4542","2.0","-16.4542","2.0","-16.456699999999998","2.0","-16.4564","2.0","-16.4564","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0"
"14","-16.4568","2.0","-16.4568","2.0","-16.4541","2.0","-16.4541","2.0","-16.4541","2.0","-16.4556","2.0","-16.4558","2.0","-16.4558","2.0","-16.4564","2.0","-16.4564","2.0","-16.4564","2.0","-16.4564","2.0","-16.4564","2.0","-16.4564","2.0"
"15","-16.4479","2.0","-16.447599999999998","2.0","-16.4496","2.0","-16.4495","2.0","-16.4495","2.0","-16.4508","2.0","-16.450499999999998","2.0","-16.450499999999998","2.0","-16.4524","2.0","-16.452199999999998","2.0","-16.452199999999998","2.0","-16.4524","2.0","-16.452199999999998","2.0","-16.452199999999998","2.0"
"16","-16.4472","2.0","-16.4473","2.0","-16.4493","2.0","-16.4493","2.0","-16.4493","2.0","-16.4499","2.0","-16.4501","2.0","-16.4501","2.0","-16.4519","2.0","-16.451999999999998","2.0","-16.451999999999998","2.0","-16.4519","2.0","-16.451999999999998","2.0","-16.451999999999998","2.0"
"17","-16.441","2.0","-16.438399999999998","2.0","-16.4396","2.0","-16.436899999999998","2.0","-16.436899999999998","2.0","-16.4406","2.0","-16.4379","2.0","-16.4379","2.0","-16.4393","2.0","-16.4366","2.0","-16.4366","2.0","-16.4393","2.0","-16.4366","2.0","-16.4366","2.0"
"18","-16.438399999999998","2.0","-16.4357","2.0","-16.4377","2.0","-16.4349","2.0","-16.4349","2.0","-16.4393","2.0","-16.4366","2.0","-16.4366","2.0","-16.438399999999998","2.0","-16.4356","2.0","-16.4356","2.0","-16.438399999999998","2.0","-16.4356","2.0","-16.4356","2.0"
"19","-16.433699999999998","2.0","-16.433","2.0","-16.4359","2.0","-16.4334","2.0","-16.4334","2.0","-16.433699999999998","2.0","-16.432399999999998","2.0","-16.432399999999998","2.0","-16.4358","2.0","-16.4333","2.0","-16.4333","2.0","-16.4358","2.0","-16.4333","2.0","-16.4333","2.0"
"20","-16.4335","2.0","-16.4314","2.0","-16.435299999999998","2.0","-16.4327","2.0","-16.4327","2.0","-16.4336","2.0","-16.4313","2.0","-16.4313","2.0","-16.4355","2.0","-16.4329","2.0","-16.4329","2.0","-16.4355","2.0","-16.4329","2.0","-16.4329","2.0"
"21","-16.4303","2.0","-16.431","2.0","-16.4289","2.0","-16.4316","2.0","-16.4316","2.0","-16.4297","2.0","-16.4311","2.0","-16.4311","2.0","-16.4285","2.0","-16.4312","2.0","-16.4312","2.0","-16.4285","2.0","-16.4312","2.0","-16.4312","2.0"
