"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-22.0904","2.0","-22.0903","2.0","-22.0903","2.0","-22.0903","2.0","-22.0903","2.0","-22.0902","2.0","-22.0902","2.0","-22.0902","2.0","-22.0901","2.0","-22.0901","2.0","-22.0901","2.0","-22.0901","2.0","-22.0901","2.0","-22.0901","2.0"
"2","-22.0902","2.0","-22.0902","2.0","-22.0902","2.0","-22.0902","2.0","-22.0902","2.0","-22.09","2.0","-22.0901","2.0","-22.09","2.0","-22.09","2.0","-22.09","2.0","-22.09","2.0","-22.09","2.0","-22.09","2.0","-22.09","2.0"
"3","-22.0897","2.0","-22.0896","2.0","-22.0896","2.0","-22.0896","2.0","-22.0896","2.0","-22.0899","2.0","-22.0898","2.0","-22.0898","2.0","-22.0898","2.0","-22.0897","2.0","-22.0897","2.0","-22.0898","2.0","-22.0897","2.0","-22.0897","2.0"
"4","-22.0895","2.0","-22.0895","2.0","-22.0895","2.0","-22.0895","2.0","-22.0895","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0","-22.0897","2.0"
"5","-22.0844","2.0","-22.0844","2.0","-22.0844","2.0","-22.0845","2.0","-22.0845","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0","-22.0842","2.0"
"6","-22.0843","2.0","-22.0844","2.0","-22.0844","2.0","-22.0844","2.0","-22.0844","2.0","-22.0841","2.0","-22.0841","2.0","-22.0841","2.0","-22.0841","2.0","-22.0842","2.0","-22.0842","2.0","-22.0841","2.0","-22.0842","2.0","-22.0842","2.0"
"7","-22.0835","2.0","-22.0835","2.0","-22.0835","2.0","-22.0835","2.0","-22.0835","2.0","-22.0838","2.0","-22.0837","2.0","-22.0837","2.0","-22.0838","2.0","-22.0838","2.0","-22.0838","2.0","-22.0838","2.0","-22.0838","2.0","-22.0838","2.0"
"8","-22.0834","2.0","-22.0835","2.0","-22.0835","2.0","-22.0835","2.0","-22.0835","2.0","-22.0836","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0","-22.0837","2.0"
"9","-18.4408","2.0","-18.4407","2.0","-18.4387","2.0","-18.4386","2.0","-18.4386","2.0","-18.4386","2.0","-18.4386","2.0","-18.4386","2.0","-18.4363","2.0","-18.4363","2.0","-18.4363","2.0","-18.4363","2.0","-18.4363","2.0","-18.4363","2.0"
