"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.8975","1.0","-19.8973","1.0","-19.8973","1.0","-19.8972","1.0","-19.897000000000002","1.0","-19.897000000000002","1.0","-19.8972","1.0","-19.897000000000002","1.0","-19.897000000000002","1.0","-19.8973","1.0","-19.897100000000002","1.0","-19.897100000000002","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0","-19.8973","1.0","-19.897100000000002","1.0","-19.897100000000002","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0"
"2","-19.8975","1.0","-19.8973","1.0","-19.8973","1.0","-19.8972","1.0","-19.897000000000002","1.0","-19.897000000000002","1.0","-19.8972","1.0","-19.897000000000002","1.0","-19.897000000000002","1.0","-19.8973","1.0","-19.897000000000002","1.0","-19.897100000000002","1.0","-19.897000000000002","1.0","-19.896700000000003","1.0","-19.896800000000002","1.0","-19.897000000000002","1.0","-19.896700000000003","1.0","-19.896800000000002","1.0","-19.8973","1.0","-19.897100000000002","1.0","-19.897000000000002","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896700000000003","1.0","-19.897000000000002","1.0","-19.896800000000002","1.0","-19.896700000000003","1.0"
"3","-19.896600000000003","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0","-19.896600000000003","1.0","-19.8965","1.0","-19.8965","1.0","-19.896600000000003","1.0","-19.8965","1.0","-19.8965","1.0","-19.896900000000002","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.896900000000002","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8964","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8964","1.0"
"4","-19.896600000000003","1.0","-19.896800000000002","1.0","-19.896800000000002","1.0","-19.896600000000003","1.0","-19.8965","1.0","-19.8965","1.0","-19.896600000000003","1.0","-19.8965","1.0","-19.8965","1.0","-19.896900000000002","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8963","1.0","-19.896900000000002","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.8963","1.0","-19.8963","1.0"
"5","-19.8965","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8964","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0"
"6","-19.8965","1.0","-19.8964","1.0","-19.8964","1.0","-19.8963","1.0","-19.8964","1.0","-19.8964","1.0","-19.8963","1.0","-19.8964","1.0","-19.8964","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8963","1.0","-19.896600000000003","1.0","-19.896600000000003","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0","-19.8964","1.0","-19.8963","1.0","-19.8963","1.0"
"7","-19.8963","1.0","-19.8961","1.0","-19.8961","1.0","-19.8963","1.0","-19.8962","1.0","-19.8962","1.0","-19.8963","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0"
"8","-19.8963","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8962","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0","-19.8961","1.0","-19.8962","1.0","-19.8961","1.0"
"9","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8958","1.0","-19.8958","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8958","1.0","-19.8958","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0"
