"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","4","-0.07390000000000008","2.0","5","2.4460999999999995","0.0","2.5199999999999996"
"2","0.00176056","0.0","0.00176056","4","-0.07409999999999961","2.0","5","2.4459","0.0","2.5199999999999996"
"3","0.00352113","0.0","0.00352113","4","-0.07490000000000041","2.0","5","2.445499999999999","0.0","2.5203999999999995"
"4","0.00528169","0.0","0.00528169","4","-0.07610000000000028","2.0","5","2.4448000000000008","0.0","2.520900000000001"
"5","0.00704225","0.0","0.00704225","4","-0.07779999999999987","2.0","5","2.4437999999999995","0.0","2.5215999999999994"
"6","0.00880282","0.0","0.00880282","4","-0.0799000000000003","2.0","5","2.442500000000001","0.0","2.522400000000001"
"7","0.01056338","0.0","0.01056338","4","-0.08250000000000046","2.0","5","2.440899999999999","0.0","2.5233999999999996"
"8","0.01232394","0.0","0.01232394","4","-0.08560000000000034","2.0","5","2.4391","0.0","2.5247"
"9","0.01408451","0.0","0.01408451","4","-0.08919999999999995","2.0","5","2.4368999999999996","0.0","2.5260999999999996"
"10","0.01584507","0.0","0.01584507","4","-0.0932000000000004","2.0","5","2.4345","0.0","2.5277000000000003"
"11","0.01760563","0.0","0.01760563","4","-0.09769999999999968","2.0","5","2.431800000000001","0.0","2.5295000000000005"
"12","0.0193662","0.0","0.0193662","4","-0.1025999999999998","2.0","5","2.4288000000000007","0.0","2.5314000000000005"
"13","0.02112676","0.0","0.02112676","4","-0.10799999999999965","2.0","5","2.4255999999999993","0.0","2.533599999999999"
"14","0.02288732","0.0","0.02288732","4","-0.11380000000000035","2.0","5","2.4220000000000006","0.0","2.535800000000001"
"15","0.02464789","0.0","0.02464789","4","-0.1200000000000001","2.0","5","2.4182000000000006","0.0","2.5382000000000007"
"16","0.02640845","0.0","0.02640845","4","-0.12659999999999982","2.0","5","2.4140999999999995","0.0","2.5406999999999993"
"17","0.02816902","0.0","0.02816902","4","-0.13370000000000015","2.0","5","2.4098000000000006","0.0","2.5435000000000008"
"18","0.02992958","0.0","0.02992958","4","-0.14109999999999978","2.0","5","2.4052000000000007","0.0","2.5463000000000005"
"19","0.03169014","0.0","0.03169014","4","-0.14900000000000002","2.0","5","2.4002999999999997","0.0","2.5492999999999997"
"20","0.0334507","0.0","0.0334507","4","-0.15720000000000045","2.0","5","2.395199999999999","0.0","2.5523999999999996"
"21","0.03521127","0.0","0.03521127","4","-0.16579999999999995","2.0","5","2.3897999999999993","0.0","2.555599999999999"
"22","0.03697183","0.0","0.03697183","4","-0.17469999999999963","2.0","5","2.3842","0.0","2.5588999999999995"
"23","0.03873239","0.0","0.03873239","4","-0.18400000000000016","2.0","5","2.3782999999999994","0.0","2.5622999999999996"
"24","0.04049296","0.0","0.04049296","4","-0.1936","2.0","5","2.3721999999999994","0.0","2.5657999999999994"
"25","0.04225352","0.0","0.04225352","4","-0.20359999999999978","2.0","5","2.3658","0.0","2.5694"
"26","0.04401409","0.0","0.04401409","4","-0.21389999999999976","2.0","5","2.3591999999999995","0.0","2.5730999999999993"
"27","0.04577465","0.0","0.04577465","4","-0.22449999999999992","2.0","5","2.3523999999999994","0.0","2.5768999999999993"
"28","0.04753521","0.0","0.04753521","4","-0.23540000000000028","2.0","5","2.3453","0.0","2.5807"
"29","0.04929578","0.0","0.04929578","4","-0.24659999999999993","2.0","5","2.337999999999999","0.0","2.584599999999999"
"30","0.05105634","0.0","0.05105634","4","-0.258","2.0","5","2.3305000000000007","0.0","2.5885000000000007"
"31","0.05281691","0.0","0.05281691","4","-0.26980000000000004","2.0","5","2.3226999999999993","0.0","2.5924999999999994"
"32","0.05457747","0.0","0.05457747","4","-0.2817999999999996","2.0","5","2.3148","0.0","2.5965999999999996"
"33","0.05633803","0.0","0.05633803","4","-0.2939999999999996","2.0","5","2.3065999999999995","0.0","2.600599999999999"
"34","0.0580986","0.0","0.0580986","4","-0.3064999999999998","2.0","5","2.2982999999999993","0.0","2.604799999999999"
"35","0.05985916","0.0","0.05985916","4","-0.3192000000000004","2.0","5","2.2897","0.0","2.6089"
"36","0.06161972","0.0","0.06161972","4","-0.3322000000000003","2.0","5","2.280900000000001","0.0","2.613100000000001"
"37","0.06338029","0.0","0.06338029","4","-0.34529999999999994","2.0","5","2.2720000000000002","0.0","2.6173"
"38","0.06514085","0.0","0.06514085","4","-0.3586999999999998","2.0","5","2.2628000000000004","0.0","2.6215"
"39","0.06690141","0.0","0.06690141","4","-0.3722000000000003","2.0","5","2.2535000000000007","0.0","2.625700000000001"
"40","0.06866197","0.0","0.06866197","4","-0.3860000000000001","2.0","5","2.2439999999999998","0.0","2.63"
"41","0.07042254","0.0","0.07042254","4","-0.3998999999999997","2.0","5","2.2342999999999993","0.0","2.634199999999999"
"42","0.0721831","0.0","0.0721831","4","-0.4139999999999997","2.0","5","2.2243999999999993","0.0","2.638399999999999"
"43","0.07394367","0.0","0.07394367","4","-0.4283000000000001","2.0","5","2.2143999999999995","0.0","2.6426999999999996"
"44","0.07570423","0.0","0.07570423","4","-0.4427000000000003","2.0","5","2.2042","0.0","2.6469000000000005"
"45","0.07746479","0.0","0.07746479","4","-0.4572000000000003","2.0","5","2.1937999999999995","0.0","2.651"
"46","0.07922535","0.0","0.07922535","4","-0.47189999999999976","2.0","5","2.183299999999999","0.0","2.655199999999999"
"47","0.08098592","0.0","0.08098592","4","-0.4867999999999997","2.0","5","2.1727000000000007","0.0","2.6595000000000004"
"48","0.08274648","0.0","0.08274648","4","-0.5016999999999996","2.0","5","2.1618999999999993","0.0","2.663599999999999"
"49","0.08450705","0.0","0.08450705","4","-0.5167999999999999","2.0","5","2.1509","0.0","2.6677"
"50","0.08626761","0.0","0.08626761","4","-0.532","2.0","5","2.1398","0.0","2.6718"
"51","0.08802817","0.0","0.08802817","4","-0.5472999999999999","2.0","5","2.1285999999999996","0.0","2.6758999999999995"
"52","0.08978874","0.0","0.08978874","4","-0.5627000000000004","2.0","5","2.1173","0.0","2.6800000000000006"
"53","0.0915493","0.0","0.0915493","4","-0.5781999999999998","2.0","5","2.1058000000000003","0.0","2.684"
"54","0.09330986","0.0","0.09330986","4","-0.5937999999999999","2.0","5","2.0942999999999996","0.0","2.6880999999999995"
"55","0.09507043","0.0","0.09507043","4","-0.6094999999999997","2.0","5","2.0826000000000002","0.0","2.6921"
"56","0.09683099","0.0","0.09683099","4","-0.6252000000000004","2.0","5","2.0708","0.0","2.6960000000000006"
"57","0.09859155","0.0","0.09859155","4","-0.6410999999999998","2.0","5","2.0587999999999997","0.0","2.6998999999999995"
"58","0.10035211","0.0","0.10035211","4","-0.657","2.0","5","2.0468","0.0","2.7038"
"59","0.10211268","0.0","0.10211268","4","-0.6729000000000003","2.0","5","2.0347","0.0","2.7076000000000002"
"60","0.10387325","0.0","0.10387325","4","-0.6890000000000001","2.0","5","2.0225","0.0","2.7115"
"61","0.10563381","0.0","0.10563381","4","-0.7050000000000001","2.0","5","2.0102","0.0","2.7152000000000003"
"62","0.10739437","0.0","0.10739437","4","-0.7211999999999996","2.0","5","1.9977999999999998","0.0","2.7189999999999994"
"63","0.10915493","0.0","0.10915493","4","-0.7374","2.0","5","1.9852999999999996","0.0","2.7226999999999997"
"64","0.1109155","0.0","0.1109155","4","-0.7535999999999996","2.0","5","1.9728000000000003","0.0","2.7264"
"65","0.11267606","0.0","0.11267606","4","-0.7698","2.0","5","1.9600999999999997","0.0","2.7298999999999998"
"66","0.11443662","0.0","0.11443662","4","-0.7861000000000002","2.0","5","1.9474","0.0","2.7335000000000003"
"67","0.11619719","0.0","0.11619719","4","-0.8024000000000004","2.0","5","1.9347000000000003","0.0","2.7371000000000008"
"68","0.11795776","0.0","0.11795776","4","-0.8188000000000004","2.0","5","1.9218000000000002","0.0","2.7406000000000006"
"69","0.11971831","0.0","0.11971831","4","-0.8352000000000004","2.0","5","1.9089","0.0","2.7441000000000004"
"70","0.12147887","0.0","0.12147887","4","-0.8516000000000004","2.0","5","1.896","0.0","2.7476000000000003"
"71","0.12323944","0.0","0.12323944","4","-0.8680000000000003","2.0","5","1.883","0.0","2.7510000000000003"
"72","0.12500001","0.0","0.12500001","4","-0.8844000000000003","2.0","5","1.8699000000000003","0.0","2.7543000000000006"
"73","0.12676057","0.0","0.12676057","4","-0.9008000000000003","2.0","5","1.8567999999999998","0.0","2.7576"
"74","0.12852113","0.0","0.12852113","4","-0.9173","2.0","5","1.8436000000000003","0.0","2.7609000000000004"
"75","0.1302817","0.0","0.1302817","4","-0.9337","2.0","5","1.8304","0.0","2.7641"
"76","0.13204226","0.0","0.13204226","4","-0.9501999999999997","2.0","5","1.8171999999999997","0.0","2.7673999999999994"
"77","0.13380282","0.0","0.13380282","4","-0.9665999999999997","2.0","5","1.8038999999999996","0.0","2.7704999999999993"
"78","0.13556337","0.0","0.13556337","4","-0.9831000000000003","2.0","5","1.7906000000000004","0.0","2.7737000000000007"
"79","0.13732395","0.0","0.13732395","4","-0.9995000000000003","2.0","5","1.7771999999999997","0.0","2.7767"
