"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.484","0.0","0.484","4","-2.9245","2.0","5","0.47409999999999997","0.0","3.3986"
"2","0.484","0.00248756","0.484","4","-2.9238","2.0","5","0.4710000000000001","0.0","3.3948"
"3","0.484","0.00497512","0.484","4","-2.923","2.0","5","0.46860000000000035","0.0","3.3916000000000004"
"4","0.484","0.00746269","0.484","4","-2.922","2.0","5","0.46689999999999987","0.0","3.3889"
"5","0.484","0.00995025","0.484","4","-2.9209","2.0","5","0.46579999999999977","0.0","3.3867"
"6","0.484","0.01243781","0.484","4","-2.9197","2.0","5","0.4653999999999998","0.0","3.3851"
"7","0.484","0.01492537","0.484","4","-2.9183","2.0","5","0.4654999999999996","0.0","3.3837999999999995"
"8","0.484","0.01741293","0.484","4","-2.9168","2.0","5","0.4663000000000004","0.0","3.3831"
"9","0.484","0.0199005","0.484","4","-2.9151","2.0","5","0.46750000000000025","0.0","3.3826"
"10","0.484","0.02238806","0.484","4","-2.9134","2.0","5","0.4692999999999996","0.0","3.3827"
"11","0.484","0.02487562","0.484","4","-2.9115","2.0","5","0.4714999999999998","0.0","3.383"
"12","0.484","0.02736318","0.484","4","-2.9094","2.0","5","0.47419999999999973","0.0","3.3836"
"13","0.484","0.02985075","0.484","4","-2.9072","2.0","5","0.47719999999999985","0.0","3.3844"
"14","0.484","0.03233831","0.484","4","-2.9049","2.0","5","0.4805999999999999","0.0","3.3855"
"15","0.484","0.03482587","0.484","4","-2.9024","2.0","5","0.4843000000000002","0.0","3.3867000000000003"
"16","0.484","0.03731343","0.484","4","-2.8998","2.0","5","0.48829999999999973","0.0","3.3880999999999997"
"17","0.484","0.03980099","0.484","4","-2.8971","2.0","5","0.49260000000000037","0.0","3.3897000000000004"
"18","0.484","0.04228856","0.484","4","-2.8943","2.0","5","0.4972000000000003","0.0","3.3915"
"19","0.484","0.04477612","0.484","4","-2.8913","2.0","5","0.5019999999999998","0.0","3.3933"
"20","0.484","0.04726368","0.484","4","-2.8881","2.0","5","0.5069999999999997","0.0","3.3951"
"21","0.484","0.04975124","0.484","4","-2.8849","2.0","5","0.5122","0.0","3.3971"
"22","0.484","0.0522388","0.484","4","-2.8815","2.0","5","0.5175999999999998","0.0","3.3991"
"23","0.484","0.05472637","0.484","4","-2.8779","2.0","5","0.5232999999999999","0.0","3.4012"
"24","0.484","0.05721393","0.484","4","-2.8743","2.0","5","0.5289999999999999","0.0","3.4032999999999998"
"25","0.484","0.05970149","0.484","4","-2.8705","2.0","5","0.5350000000000001","0.0","3.4055"
"26","0.484","0.06218905","0.484","4","-2.8666","2.0","5","0.5411999999999999","0.0","3.4078"
"27","0.484","0.06467661","0.484","4","-2.8625","2.0","5","0.5475000000000003","0.0","3.41"
"28","0.484","0.06716418","0.484","4","-2.8583","2.0","5","0.5538999999999996","0.0","3.4121999999999995"
"29","0.484","0.06965174","0.484","4","-2.854","2.0","5","0.5606","0.0","3.4146"
"30","0.484","0.0721393","0.484","4","-2.8495","2.0","5","0.5674000000000001","0.0","3.4169"
"31","0.484","0.07462686","0.484","4","-2.8449","2.0","5","0.5743","0.0","3.4192"
"32","0.484","0.07711443","0.484","4","-2.8402","2.0","5","0.5814000000000004","0.0","3.4216"
"33","0.484","0.07960199","0.484","4","-2.8354","2.0","5","0.5885999999999996","0.0","3.4239999999999995"
"34","0.484","0.08208955","0.484","4","-2.8304","2.0","5","0.5960999999999999","0.0","3.4265"
"35","0.484","0.08457711","0.484","4","-2.8253","2.0","5","0.6036000000000001","0.0","3.4289"
"36","0.484","0.08706468","0.484","4","-2.82","2.0","5","0.6113","0.0","3.4313"
"37","0.484","0.08955224","0.484","4","-2.8147","2.0","5","0.6192000000000002","0.0","3.4339000000000004"
"38","0.484","0.0920398","0.484","4","-2.8092","2.0","5","0.6272000000000002","0.0","3.4364000000000003"
"39","0.484","0.09452736","0.484","4","-2.8035","2.0","5","0.6353999999999997","0.0","3.4389"
"40","0.484","0.09701493","0.484","4","-2.7978","2.0","5","0.6436999999999999","0.0","3.4415"
"41","0.484","0.09950249","0.484","4","-2.7919","2.0","5","0.6520999999999999","0.0","3.444"
"42","0.484","0.10199004","0.484","4","-2.7859","2.0","5","0.6608","0.0","3.4467"
"43","0.484","0.10447761","0.484","4","-2.7797","2.0","5","0.6695000000000002","0.0","3.4492000000000003"
"44","0.484","0.10696517","0.484","4","-2.7735","2.0","5","0.6784999999999997","0.0","3.4519999999999995"
"45","0.484","0.10945273","0.484","4","-2.7671","2.0","5","0.6875","0.0","3.4546"
"46","0.484","0.11194029","0.484","4","-2.7605","2.0","5","0.6967999999999996","0.0","3.4572999999999996"
"47","0.484","0.11442786","0.484","4","-2.7539000000000002","2.0","5","0.7061999999999999","0.0","3.4601"
"48","0.484","0.11691542","0.484","4","-2.7471","2.0","5","0.7157","0.0","3.4628"
"49","0.484","0.11940298","0.484","4","-2.7402","2.0","5","0.7253999999999996","0.0","3.4656"
"50","0.484","0.12189054","0.484","4","-2.7332","2.0","5","0.7351999999999999","0.0","3.4684"
"51","0.484","0.12437811","0.484","4","-2.7261","2.0","5","0.7451999999999996","0.0","3.4713"
"52","0.484","0.12686567","0.484","4","-2.7188","2.0","5","0.7553999999999998","0.0","3.4741999999999997"
"53","0.484","0.12935323","0.484","4","-2.7114","2.0","5","0.7656999999999998","0.0","3.4770999999999996"
"54","0.484","0.1318408","0.484","4","-2.7039","2.0","5","0.7762000000000002","0.0","3.4801"
"55","0.484","0.13432835","0.484","4","-2.6963","2.0","5","0.7868000000000004","0.0","3.4831000000000003"
"56","0.484","0.13681592","0.484","4","-2.6885","2.0","5","0.7975000000000003","0.0","3.486"
"57","0.484","0.13930348","0.484","4","-2.6806","2.0","5","0.8083999999999998","0.0","3.489"
"58","0.484","0.14179105","0.484","4","-2.6726","2.0","5","0.8194999999999997","0.0","3.4920999999999998"
"59","0.484","0.1442786","0.484","4","-2.6645","2.0","5","0.8307000000000002","0.0","3.4952"
"60","0.484","0.14676617","0.484","4","-2.6563","2.0","5","0.8421000000000003","0.0","3.4984"
"61","0.484","0.14925373","0.484","4","-2.6479","2.0","5","0.8536000000000001","0.0","3.5015"
"62","0.484","0.1517413","0.484","4","-2.6395","2.0","5","0.8651999999999997","0.0","3.5046999999999997"
"63","0.484","0.15422885","0.484","4","-2.6309","2.0","5","0.8769999999999998","0.0","3.5079"
"64","0.484","0.15671642","0.484","4","-2.6222","2.0","5","0.8890000000000002","0.0","3.5112"
"65","0.484","0.15920398","0.484","4","-2.6134","2.0","5","0.9010999999999996","0.0","3.5144999999999995"
"66","0.484","0.16169153","0.484","4","-2.6045","2.0","5","0.9132999999999996","0.0","3.5177999999999994"
"67","0.484","0.1641791","0.484","4","-2.5954","2.0","5","0.9257","0.0","3.5211"
"68","0.484","0.16666666","0.484","4","-2.5863","2.0","5","0.9382000000000001","0.0","3.5245"
"69","0.484","0.16915423","0.484","4","-2.577","2.0","5","0.9508999999999999","0.0","3.5279"
"70","0.484","0.17164178","0.484","4","-2.5676","2.0","5","0.9637000000000002","0.0","3.5313000000000003"
"71","0.484","0.17412935","0.484","4","-2.5581","2.0","5","0.9766000000000004","0.0","3.5347000000000004"
"72","0.484","0.17661691","0.484","4","-2.5485","2.0","5","0.9897","0.0","3.5382000000000002"
"73","0.484","0.17910448","0.484","4","-2.5388","2.0","5","1.0029000000000003","0.0","3.5417000000000005"
"74","0.484","0.18159203","0.484","4","-2.529","2.0","5","1.0163000000000002","0.0","3.5453"
"75","0.484","0.1840796","0.484","4","-2.5191","2.0","5","1.0297999999999998","0.0","3.5488999999999997"
"76","0.484","0.18656716","0.484","4","-2.5091","2.0","5","1.0434","0.0","3.5525"
"77","0.484","0.18905473","0.484","4","-2.499","2.0","5","1.0571000000000002","0.0","3.5561000000000003"
"78","0.484","0.19154228","0.484","4","-2.4887","2.0","5","1.0709999999999997","0.0","3.5597"
"79","0.484","0.19402985","0.484","4","-2.4784","2.0","5","1.085","0.0","3.5634"
"80","0.484","0.19651741","0.484","4","-2.468","2.0","5","1.0991999999999997","0.0","3.5671999999999997"
"81","0.484","0.19900498","0.484","4","-2.4575","2.0","5","1.1134000000000004","0.0","3.5709000000000004"
"82","0.484","0.20149253","0.484","4","-2.4468","2.0","5","1.1277999999999997","0.0","3.5745999999999998"
"83","0.484","0.20398009","0.484","4","-2.4361","2.0","5","1.1422999999999996","0.0","3.5784"
"84","0.484","0.20646766","0.484","4","-2.4253","2.0","5","1.157","0.0","3.5823"
"85","0.484","0.20895521","0.484","4","-2.4144","2.0","5","1.1717000000000004","0.0","3.5861000000000005"
"86","0.484","0.21144278","0.484","4","-2.4033","2.0","5","1.1864999999999997","0.0","3.5898"
"87","0.484","0.21393034","0.484","4","-2.3922","2.0","5","1.2015000000000002","0.0","3.5937"
"88","0.484","0.21641791","0.484","4","-2.3810000000000002","2.0","5","1.2165999999999997","0.0","3.5976"
"89","0.484","0.21890546","0.484","4","-2.3698","2.0","5","1.2317999999999998","0.0","3.6016"
"90","0.484","0.22139303","0.484","4","-2.3584","2.0","5","1.2469999999999999","0.0","3.6054"
"91","0.484","0.22388059","0.484","4","-2.3469","2.0","5","1.2624000000000004","0.0","3.6093000000000006"
"92","0.484","0.22636816","0.484","4","-2.3354","2.0","5","1.2778999999999998","0.0","3.6132999999999997"
"93","0.484","0.22885571","0.484","4","-2.3237","2.0","5","1.2934999999999999","0.0","3.6172"
"94","0.484","0.23134328","0.484","4","-2.312","2.0","5","1.3091","0.0","3.6210999999999998"
"95","0.484","0.23383084","0.484","4","-2.3002000000000002","2.0","5","1.3249000000000004","0.0","3.6251000000000007"
"96","0.484","0.23631841","0.484","4","-2.2884","2.0","5","1.3407","0.0","3.6291"
"97","0.484","0.23880596","0.484","4","-2.2764","2.0","5","1.3566000000000003","0.0","3.6330000000000005"
"98","0.484","0.24129352","0.484","4","-2.2644","2.0","5","1.3726000000000003","0.0","3.6370000000000005"
"99","0.484","0.24378109","0.484","4","-2.2523","2.0","5","1.3887","0.0","3.641"
"100","0.484","0.24626864","0.484","4","-2.2401","2.0","5","1.4047999999999998","0.0","3.6449"
"101","0.484","0.24875621","0.484","4","-2.2279","2.0","5","1.4210000000000003","0.0","3.6489000000000003"
"102","0.484","0.25124377","0.484","4","-2.2156000000000002","2.0","5","1.4371999999999998","0.0","3.6528"
"103","0.484","0.25373134","0.484","4","-2.2032","2.0","5","1.4535","0.0","3.6567"
"104","0.484","0.25621891","0.484","4","-2.1908","2.0","5","1.4698000000000002","0.0","3.6606"
"105","0.484","0.25870645","0.484","4","-2.1783","2.0","5","1.4862000000000002","0.0","3.6645000000000003"
"106","0.484","0.26119402","0.484","4","-2.1657","2.0","5","1.5026000000000002","0.0","3.6683000000000003"
"107","0.484","0.26368159","0.484","4","-2.1531000000000002","2.0","5","1.5191","0.0","3.6722"
"108","0.484","0.26616916","0.484","4","-2.1404","2.0","5","1.5354999999999999","0.0","3.6759"
"109","0.484","0.2686567","0.484","4","-2.1277","2.0","5","1.5519999999999996","0.0","3.6796999999999995"
"110","0.484","0.27114427","0.484","4","-2.1149","2.0","5","1.5685000000000002","0.0","3.6834000000000002"
"111","0.484","0.27363184","0.484","4","-2.1021","2.0","5","1.585","0.0","3.6871"
"112","0.484","0.27611941","0.484","4","-2.0892","2.0","5","1.6014","0.0","3.6906"
"113","0.484","0.27860695","0.484","4","-2.0763","2.0","5","1.6178999999999997","0.0","3.6941999999999995"
"114","0.484","0.28109452","0.484","4","-2.0633","2.0","5","1.6342999999999996","0.0","3.6975999999999996"
"115","0.484","0.28358209","0.484","4","-2.0503","2.0","5","1.6505999999999998","0.0","3.7009"
"116","0.484","0.28606963","0.484","4","-2.0373","2.0","5","1.6669999999999998","0.0","3.7043"
"117","0.484","0.2885572","0.484","4","-2.0242","2.0","5","1.6832000000000003","0.0","3.7074000000000003"
"118","0.484","0.29104477","0.484","4","-2.0111","2.0","5","1.6993999999999998","0.0","3.7104999999999997"
"119","0.484","0.29353234","0.484","4","-1.9980000000000002","2.0","5","1.7154999999999996","0.0","3.7135"
"120","0.484","0.29601988","0.484","4","-1.9849","2.0","5","1.7314999999999996","0.0","3.7163999999999997"
"121","0.484","0.29850745","0.484","4","-1.9717000000000002","2.0","5","1.7473","0.0","3.7190000000000003"
"122","0.484","0.30099502","0.484","4","-1.9585","2.0","5","1.7630999999999997","0.0","3.7215999999999996"
"123","0.484","0.30348259","0.484","4","-1.9453","2.0","5","1.7786","0.0","3.7239"
"124","0.484","0.30597013","0.484","4","-1.9321000000000002","2.0","5","1.7939999999999996","0.0","3.7260999999999997"
"125","0.484","0.3084577","0.484","4","-1.9188999999999998","2.0","5","1.8091999999999997","0.0","3.7280999999999995"
"126","0.484","0.31094527","0.484","4","-1.9057","2.0","5","1.8242000000000003","0.0","3.7299"
"127","0.484","0.31343284","0.484","4","-1.8925","2.0","5","1.8390000000000004","0.0","3.7315000000000005"
"128","0.484","0.31592038","0.484","4","-1.8793000000000002","2.0","5","1.8535000000000004","0.0","3.7328000000000006"
"129","0.484","0.31840795","0.484","4","-1.8660999999999999","2.0","5","1.8677000000000001","0.0","3.7338"
"130","0.484","0.32089552","0.484","4","-1.8529","2.0","5","1.8815","0.0","3.7344"
"131","0.484","0.32338306","0.484","4","-1.8396999999999997","2.0","5","1.8951000000000002","0.0","3.7348"
"132","0.484","0.32587063","0.484","4","-1.8265000000000002","2.0","5","1.9082","0.0","3.7347"
"133","0.484","0.3283582","0.484","4","-1.8133999999999997","2.0","5","1.9208999999999996","0.0","3.7342999999999993"
"134","0.484","0.33084577","0.484","4","-1.8003","2.0","5","1.9330999999999996","0.0","3.7333999999999996"
"135","0.484","0.33333331","0.484","4","-1.7872000000000003","2.0","5","1.9448999999999996","0.0","3.7321"
"136","0.484","0.33582088","0.484","4","-1.7740999999999998","2.0","5","1.9561000000000002","0.0","3.7302"
"137","0.484","0.33830845","0.484","4","-1.7610999999999999","2.0","5","1.9665999999999997","0.0","3.7276999999999996"
"138","0.484","0.34079602","0.484","4","-1.7481999999999998","2.0","5","1.9766000000000004","0.0","3.7248"
"139","0.484","0.34328356","0.484","4","-1.7351999999999999","2.0","5","1.9858000000000002","0.0","3.721"
"140","0.484","0.34577113","0.484","4","-1.7224000000000004","2.0","5","1.9942000000000002","0.0","3.7166000000000006"
"141","0.484","0.3482587","0.484","4","-1.7096","2.0","5","2.0019","0.0","3.7115"
"142","0.484","0.35074627","0.484","4","-1.6969000000000003","2.0","5","2.0086000000000004","0.0","3.7055000000000007"
"143","0.484","0.35323381","0.484","4","-1.6841999999999997","2.0","5","2.0144","0.0","3.6986"
"144","0.484","0.35572138","0.484","4","-1.6715999999999998","2.0","5","2.0191999999999997","0.0","3.6907999999999994"
"145","0.484","0.35820895","0.484","4","-1.6591000000000005","2.0","5","2.0228","0.0","3.6819000000000006"
"146","0.484","0.36069649","0.484","4","-1.6467","2.0","5","2.0254000000000003","0.0","3.6721000000000004"
"147","0.484","0.36318406","0.484","4","-1.6344000000000003","2.0","5","2.0267","0.0","3.6611000000000002"
"148","0.484","0.36567163","0.484","4","-1.6220999999999997","2.0","5","2.0267","0.0","3.6487999999999996"
"149","0.484","0.3681592","0.484","4","-1.6100000000000003","2.0","5","2.0254000000000003","0.0","3.6354000000000006"
"150","0.484","0.37064674","0.484","4","-1.5979999999999999","2.0","5","2.0227000000000004","0.0","3.6207000000000003"
"151","0.484","0.37313432","0.484","4","-1.5860000000000003","2.0","5","2.0187","0.0","3.6047000000000002"
"152","0.484","0.37562189","0.484","4","-1.5743","2.0","5","2.0132000000000003","0.0","3.5875000000000004"
"153","0.484","0.37810946","0.484","4","-1.5625999999999998","2.0","5","2.0061999999999998","0.0","3.5687999999999995"
"154","0.484","0.380597","0.484","4","-1.5511","2.0","5","1.9978999999999996","0.0","3.5489999999999995"
"155","0.484","0.38308457","0.484","4","-1.5396999999999998","2.0","5","1.9881000000000002","0.0","3.5278"
"156","0.484","0.38557214","0.484","4","-1.5284000000000004","2.0","5","1.9768999999999997","0.0","3.5053"
"157","0.484","0.38805971","0.484","4","-1.5172999999999996","2.0","5","1.9642999999999997","0.0","3.4815999999999994"
