"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","4","-0.07390000000000008","2.0","5","2.4460999999999995","0.0","2.5199999999999996"
"2","0.00175519","0.0","0.00175519","4","-0.07409999999999961","2.0","5","2.4459999999999997","0.0","2.5200999999999993"
"3","0.00351037","0.0","0.00351037","4","-0.07490000000000041","2.0","5","2.445499999999999","0.0","2.5203999999999995"
"4","0.00526556","0.0","0.00526556","4","-0.07610000000000028","2.0","5","2.4448000000000008","0.0","2.520900000000001"
"5","0.00702075","0.0","0.00702075","4","-0.0777000000000001","2.0","5","2.4437999999999995","0.0","2.5214999999999996"
"6","0.00877593","0.0","0.00877593","4","-0.0799000000000003","2.0","5","2.442500000000001","0.0","2.522400000000001"
"7","0.01053112","0.0","0.01053112","4","-0.08250000000000046","2.0","5","2.4410000000000007","0.0","2.523500000000001"
"8","0.01228631","0.0","0.01228631","4","-0.08560000000000034","2.0","5","2.4391","0.0","2.5247"
"9","0.01404149","0.0","0.01404149","4","-0.08910000000000018","2.0","5","2.4369999999999994","0.0","2.5260999999999996"
"10","0.01579668","0.0","0.01579668","4","-0.09309999999999974","2.0","5","2.4345999999999997","0.0","2.5276999999999994"
"11","0.01755187","0.0","0.01755187","4","-0.09759999999999991","2.0","5","2.4319000000000006","0.0","2.5295000000000005"
"12","0.01930705","0.0","0.01930705","4","-0.10250000000000004","2.0","5","2.4289000000000005","0.0","2.5314000000000005"
"13","0.02106224","0.0","0.02106224","4","-0.10780000000000012","2.0","5","2.425700000000001","0.0","2.533500000000001"
"14","0.02281743","0.0","0.02281743","4","-0.11359999999999992","2.0","5","2.4222","0.0","2.5358"
"15","0.02457261","0.0","0.02457261","4","-0.11969999999999992","2.0","5","2.4184","0.0","2.5381"
"16","0.0263278","0.0","0.0263278","4","-0.12629999999999963","2.0","5","2.414300000000001","0.0","2.5406000000000004"
"17","0.02808299","0.0","0.02808299","4","-0.1333000000000002","2.0","5","2.41","0.0","2.5433000000000003"
"18","0.02983817","0.0","0.02983817","4","-0.14069999999999983","2.0","5","2.4054","0.0","2.5461"
"19","0.03159336","0.0","0.03159336","4","-0.1485000000000003","2.0","5","2.4006000000000007","0.0","2.549100000000001"
"20","0.03334855","0.0","0.03334855","4","-0.15669999999999984","2.0","5","2.3955","0.0","2.5522"
"21","0.03510373","0.0","0.03510373","4","-0.16520000000000046","2.0","5","2.3902","0.0","2.5554000000000006"
"22","0.03685892","0.0","0.03685892","4","-0.17410000000000014","2.0","5","2.3846000000000007","0.0","2.558700000000001"
"23","0.03861411","0.0","0.03861411","4","-0.18339999999999979","2.0","5","2.3787000000000003","0.0","2.5621"
"24","0.04036929","0.0","0.04036929","4","-0.19299999999999962","2.0","5","2.3726000000000003","0.0","2.5656"
"25","0.04212448","0.0","0.04212448","4","-0.20289999999999964","2.0","5","2.3663000000000007","0.0","2.5692000000000004"
"26","0.04387967","0.0","0.04387967","4","-0.21309999999999985","2.0","5","2.3597","0.0","2.5728"
"27","0.04563485","0.0","0.04563485","4","-0.22360000000000024","2.0","5","2.3529","0.0","2.5765000000000002"
"28","0.04739004","0.0","0.04739004","4","-0.2344999999999997","2.0","5","2.3459000000000003","0.0","2.5804"
"29","0.04914523","0.0","0.04914523","4","-0.2455999999999996","2.0","5","2.3385999999999996","0.0","2.584199999999999"
"30","0.05090041","0.0","0.05090041","4","-0.2569999999999997","2.0","5","2.331200000000001","0.0","2.5882000000000005"
"31","0.0526556","0.0","0.0526556","4","-0.26869999999999994","2.0","5","2.3234999999999992","0.0","2.592199999999999"
"32","0.05441079","0.0","0.05441079","4","-0.28059999999999974","2.0","5","2.3155","0.0","2.5961"
"33","0.05616597","0.0","0.05616597","4","-0.2927999999999997","2.0","5","2.3073999999999995","0.0","2.600199999999999"
"34","0.05792116","0.0","0.05792116","4","-0.30520000000000014","2.0","5","2.2990999999999993","0.0","2.6042999999999994"
"35","0.05967635","0.0","0.05967635","4","-0.31789999999999985","2.0","5","2.2905999999999995","0.0","2.6084999999999994"
"36","0.06143153","0.0","0.06143153","4","-0.3308","2.0","5","2.2819000000000003","0.0","2.6127000000000002"
"37","0.06318672","0.0","0.06318672","4","-0.34389999999999965","2.0","5","2.2729","0.0","2.6167999999999996"
