"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","4","-0.07390000000000008","2.0","5","2.4460999999999995","0.0","2.5199999999999996"
"2","0.0","0.0","0.00502513","4","-0.07450000000000045","2.0","5","2.4468999999999994","0.0","2.5214"
"3","0.0","0.0","0.01005025","4","-0.07620000000000005","2.0","5","2.4495000000000005","0.0","2.5257000000000005"
"4","0.0","0.0","0.01507538","4","-0.07920000000000016","2.0","5","2.4536999999999995","0.0","2.5328999999999997"
"5","0.0","0.0","0.0201005","4","-0.08319999999999972","2.0","5","2.4596","0.0","2.5427999999999997"
"6","0.0","0.0","0.02512563","4","-0.08840000000000003","2.0","5","2.4672","0.0","2.5556"
"7","0.0","0.0","0.03015075","4","-0.09470000000000045","2.0","5","2.4763","0.0","2.5710000000000006"
"8","0.0","0.0","0.03517588","4","-0.10200000000000031","2.0","5","2.484","0.0","2.5860000000000003"
"9","0.0","0.0","0.040201","4","-0.11040000000000028","2.0","5","2.4898000000000007","0.0","2.600200000000001"
"10","0.0","0.0","0.04522613","4","-0.11969999999999992","2.0","5","2.4939999999999998","0.0","2.6136999999999997"
"11","0.0","0.0","0.05025126","4","-0.1299999999999999","2.0","5","2.4963999999999995","0.0","2.6263999999999994"
"12","0.0","0.0","0.05527638","4","-0.1413000000000002","2.0","5","2.4969","0.0","2.6382000000000003"
"13","0.0","0.0","0.06030151","4","-0.15329999999999977","2.0","5","2.4954","0.0","2.6487"
"14","0.0","0.0","0.06532663","4","-0.1661999999999999","2.0","5","2.4918999999999993","0.0","2.6580999999999992"
"15","0.0","0.0","0.07035176","4","-0.17989999999999995","2.0","5","2.4865999999999993","0.0","2.666499999999999"
"16","0.0","0.0","0.07537688","4","-0.19420000000000037","2.0","5","2.4795999999999996","0.0","2.6738"
"17","0.0","0.0","0.08040201","4","-0.20920000000000005","2.0","5","2.471","0.0","2.6802"
"18","0.0","0.0","0.08542714","4","-0.22489999999999988","2.0","5","2.4609000000000005","0.0","2.6858000000000004"
"19","0.0","0.0","0.09045226","4","-0.24099999999999966","2.0","5","2.4495000000000005","0.0","2.6905"
"20","0.0","0.0","0.09547739","4","-0.2576999999999998","2.0","5","2.4368999999999996","0.0","2.6945999999999994"
"21","0.0","0.0","0.10050251","4","-0.2748999999999997","2.0","5","2.4231999999999996","0.0","2.6980999999999993"
"22","0.0","0.0","0.10552764","4","-0.2925000000000004","2.0","5","2.4086","0.0","2.7011000000000003"
"23","0.0","0.0","0.11055277","4","-0.31040000000000045","2.0","5","2.3931000000000004","0.0","2.703500000000001"
"24","0.0","0.0","0.11557789","4","-0.32870000000000044","2.0","5","2.3767999999999994","0.0","2.7055"
"25","0.0","0.0","0.12060301","4","-0.3472999999999997","2.0","5","2.3598","0.0","2.7070999999999996"
"26","0.0","0.0","0.12562814","4","-0.3661000000000003","2.0","5","2.3423","0.0","2.7084"
"27","0.0","0.0","0.13065326","4","-0.3852000000000002","2.0","5","2.3241999999999994","0.0","2.7093999999999996"
"28","0.0","0.0","0.1356784","4","-0.40439999999999987","2.0","5","2.3056","0.0","2.71"
"29","0.0","0.0","0.14070351","4","-0.42379999999999995","2.0","5","2.2866","0.0","2.7104"
"30","0.0","0.0","0.14572865","4","-0.4432999999999998","2.0","5","2.2672000000000008","0.0","2.7105000000000006"
"31","0.0","0.0","0.15075377","4","-0.4629000000000003","2.0","5","2.2476000000000003","0.0","2.7105000000000006"
"32","0.0","0.0","0.1557789","4","-0.48249999999999993","2.0","5","2.2277000000000005","0.0","2.7102000000000004"
"33","0.0","0.0","0.16080402","4","-0.5022000000000002","2.0","5","2.2075999999999993","0.0","2.7097999999999995"
"34","0.0","0.0","0.16582914","4","-0.5217999999999998","2.0","5","2.1873000000000005","0.0","2.7091000000000003"
"35","0.0","0.0","0.17085427","4","-0.5415000000000001","2.0","5","2.1669","0.0","2.7084"
"36","0.0","0.0","0.17587939","4","-0.5610999999999997","2.0","5","2.1464","0.0","2.7074999999999996"
"37","0.0","0.0","0.18090452","4","-0.5806000000000004","2.0","5","2.1258","0.0","2.7064000000000004"
"38","0.0","0.0","0.18592964","4","-0.6001000000000003","2.0","5","2.1052","0.0","2.7053000000000003"
"39","0.0","0.0","0.19095477","4","-0.6193999999999997","2.0","5","2.0846","0.0","2.7039999999999997"
"40","0.0","0.0","0.19597989","4","-0.6386000000000003","2.0","5","2.064","0.0","2.7026000000000003"
"41","0.0","0.0","0.20100503","4","-0.6577000000000002","2.0","5","2.0435","0.0","2.7012"
"42","0.0","0.0","0.20603015","4","-0.6765999999999996","2.0","5","2.0231000000000003","0.0","2.6997"
"43","0.0","0.0","0.21105528","4","-0.6954000000000002","2.0","5","2.0027999999999997","0.0","2.6982"
"44","0.0","0.0","0.2160804","4","-0.7138999999999998","2.0","5","1.9825","0.0","2.6963999999999997"
"45","0.0","0.0","0.22110553","4","-0.7323000000000004","2.0","5","1.9625000000000004","0.0","2.6948000000000008"
"46","0.0","0.0","0.22613065","4","-0.7504999999999997","2.0","5","1.9425999999999997","0.0","2.6930999999999994"
"47","0.0","0.0","0.23115578","4","-0.7683999999999997","2.0","5","1.9227999999999996","0.0","2.6911999999999994"
"48","0.0","0.0","0.2361809","4","-0.7861000000000002","2.0","5","1.9032999999999998","0.0","2.6894"
"49","0.0","0.0","0.24120602","4","-0.8036000000000003","2.0","5","1.8838999999999997","0.0","2.6875"
"50","0.0","0.0","0.24623115","4","-0.8208000000000002","2.0","5","1.8647999999999998","0.0","2.6856"
"51","0.0","0.0","0.25125629","4","-0.8377999999999997","2.0","5","1.8459000000000003","0.0","2.6837"
"52","0.0","0.0","0.25628141","4","-0.8544999999999998","2.0","5","1.8273000000000001","0.0","2.6818"
"53","0.0","0.0","0.26130652","4","-0.8708999999999998","2.0","5","1.8089000000000004","0.0","2.6798"
"54","0.0","0.0","0.26633164","4","-0.8870000000000005","2.0","5","1.7908999999999997","0.0","2.6779"
"55","0.0","0.0","0.27135679","4","-0.9028999999999998","2.0","5","1.7729999999999997","0.0","2.6758999999999995"
"56","0.0","0.0","0.27638191","4","-0.9184999999999999","2.0","5","1.7554999999999996","0.0","2.6739999999999995"
"57","0.0","0.0","0.28140703","4","-0.9337","2.0","5","1.7382999999999997","0.0","2.6719999999999997"
"58","0.0","0.0","0.28643215","4","-0.9486999999999997","2.0","5","1.7214","0.0","2.6700999999999997"
"59","0.0","0.0","0.2914573","4","-0.9633000000000003","2.0","5","1.7047999999999996","0.0","2.6681"
"60","0.0","0.0","0.29648241","4","-0.9777000000000005","2.0","5","1.6885000000000003","0.0","2.666200000000001"
"61","0.0","0.0","0.30150753","4","-0.9916999999999998","2.0","5","1.6726","0.0","2.6643"
"62","0.0","0.0","0.30653265","4","-1.0053999999999998","2.0","5","1.657","0.0","2.6624"
"63","0.0","0.0","0.3115578","4","-1.0187999999999997","2.0","5","1.6417000000000002","0.0","2.6605"
"64","0.0","0.0","0.31658292","4","-1.0317999999999996","2.0","5","1.6269","0.0","2.6586999999999996"
"65","0.0","0.0","0.32160804","4","-1.0446","2.0","5","1.6123000000000003","0.0","2.6569000000000003"
"66","0.0","0.0","0.32663316","4","-1.0570000000000004","2.0","5","1.5980999999999996","0.0","2.6551"
"67","0.0","0.0","0.33165827","4","-1.069","2.0","5","1.5842999999999998","0.0","2.6532999999999998"
"68","0.0","0.0","0.33668342","4","-1.0807000000000002","2.0","5","1.5709","0.0","2.6516"
"69","0.0","0.0","0.34170854","4","-1.0921000000000003","2.0","5","1.5578000000000003","0.0","2.6499000000000006"
"70","0.0","0.0","0.34673366","4","-1.1031000000000004","2.0","5","1.5450999999999997","0.0","2.6482"
"71","0.0","0.0","0.35175878","4","-1.1138000000000003","2.0","5","1.5328","0.0","2.6466000000000003"
"72","0.0","0.0","0.35678393","4","-1.1241000000000003","2.0","5","1.5209000000000001","0.0","2.6450000000000005"
"73","0.0","0.0","0.36180905","4","-1.1341","2.0","5","1.5092999999999996","0.0","2.6433999999999997"
"74","0.0","0.0","0.36683416","4","-1.1437999999999997","2.0","5","1.4981999999999998","0.0","2.6419999999999995"
"75","0.0","0.0","0.37185928","4","-1.1531000000000002","2.0","5","1.4874","0.0","2.6405000000000003"
"76","0.0","0.0","0.37688443","4","-1.162","2.0","5","1.4771","0.0","2.6391"
"77","0.0","0.0","0.38190955","4","-1.1706000000000003","2.0","5","1.4671000000000003","0.0","2.6377000000000006"
"78","0.0","0.0","0.38693467","4","-1.1787999999999998","2.0","5","1.4576000000000002","0.0","2.6364"
"79","0.0","0.0","0.39195979","4","-1.1867","2.0","5","1.4484000000000004","0.0","2.6351000000000004"
"80","0.0","0.0","0.39698493","4","-1.1943000000000001","2.0","5","1.4397000000000002","0.0","2.6340000000000003"
"81","0.0","0.0","0.40201005","4","-1.2013999999999996","2.0","5","1.4314","0.0","2.6327999999999996"
"82","0.0","0.0","0.40703517","4","-1.2083000000000004","2.0","5","1.4234","0.0","2.6317000000000004"
"83","0.0","0.0","0.41206029","4","-1.2146999999999997","2.0","5","1.4158999999999997","0.0","2.6305999999999994"
"84","0.0","0.0","0.41708541","4","-1.2207999999999997","2.0","5","1.4088000000000003","0.0","2.6296"
"85","0.0","0.0","0.42211056","4","-1.2266000000000004","2.0","5","1.4021","0.0","2.6287000000000003"
"86","0.0","0.0","0.42713568","4","-1.2319000000000004","2.0","5","1.3958000000000004","0.0","2.627700000000001"
"87","0.0","0.0","0.43216079","4","-1.237","2.0","5","1.3899999999999997","0.0","2.627"
"88","0.0","0.0","0.43718591","4","-1.2416","2.0","5","1.3845","0.0","2.6261"
"89","0.0","0.0","0.44221106","4","-1.2460000000000004","2.0","5","1.3795000000000002","0.0","2.6255000000000006"
"90","0.0","0.0","0.44723618","4","-1.2499000000000002","2.0","5","1.3749000000000002","0.0","2.6248000000000005"
"91","0.0","0.0","0.4522613","4","-1.2534999999999998","2.0","5","1.3707000000000003","0.0","2.6242"
"92","0.0","0.0","0.45728642","4","-1.2567000000000004","2.0","5","1.3669000000000002","0.0","2.6236000000000006"
"93","0.0","0.0","0.46231157","4","-1.2595999999999998","2.0","5","1.3635000000000002","0.0","2.6231"
"94","0.0","0.0","0.46733668","4","-1.2621000000000002","2.0","5","1.3605999999999998","0.0","2.6227"
"95","0.0","0.0","0.4723618","4","-1.2643000000000004","2.0","5","1.3579999999999997","0.0","2.6223"
"96","0.0","0.0","0.47738692","4","-1.2660999999999998","2.0","5","1.3559999999999999","0.0","2.6220999999999997"
"97","0.0","0.0","0.48241204","4","-1.2675","2.0","5","1.3543000000000003","0.0","2.6218000000000004"
"98","0.0","0.0","0.48743719","4","-1.2686000000000002","2.0","5","1.3529999999999998","0.0","2.6216"
"99","0.0","0.0","0.49246231","4","-1.2693000000000003","2.0","5","1.3521999999999998","0.0","2.6215"
"100","0.0","0.0","0.49748743","4","-1.2697000000000003","2.0","5","1.3517000000000001","0.0","2.6214000000000004"
"101","0.0","0.0","0.50251257","4","-1.2697000000000003","2.0","5","1.3517000000000001","0.0","2.6214000000000004"
"102","0.0","0.0","0.50753766","4","-1.2693000000000003","2.0","5","1.3521999999999998","0.0","2.6215"
"103","0.0","0.0","0.51256281","4","-1.2686000000000002","2.0","5","1.3529999999999998","0.0","2.6216"
"104","0.0","0.0","0.51758796","4","-1.2675","2.0","5","1.3543000000000003","0.0","2.6218000000000004"
"105","0.0","0.0","0.52261305","4","-1.2660999999999998","2.0","5","1.3559999999999999","0.0","2.6220999999999997"
"106","0.0","0.0","0.5276382","4","-1.2643000000000004","2.0","5","1.3579999999999997","0.0","2.6223"
"107","0.0","0.0","0.53266329","4","-1.2621000000000002","2.0","5","1.3605999999999998","0.0","2.6227"
"108","0.0","0.0","0.53768843","4","-1.2595999999999998","2.0","5","1.3635000000000002","0.0","2.6231"
"109","0.0","0.0","0.54271358","4","-1.2567000000000004","2.0","5","1.3669000000000002","0.0","2.6236000000000006"
"110","0.0","0.0","0.54773867","4","-1.2534999999999998","2.0","5","1.3707000000000003","0.0","2.6242"
"111","0.0","0.0","0.55276382","4","-1.2499000000000002","2.0","5","1.3749000000000002","0.0","2.6248000000000005"
"112","0.0","0.0","0.55778897","4","-1.2460000000000004","2.0","5","1.3795000000000002","0.0","2.6255000000000006"
"113","0.0","0.0","0.56281406","4","-1.2416","2.0","5","1.3845","0.0","2.6261"
"114","0.0","0.0","0.56783921","4","-1.237","2.0","5","1.3899999999999997","0.0","2.627"
"115","0.0","0.0","0.57286429","4","-1.2319000000000004","2.0","5","1.3958000000000004","0.0","2.627700000000001"
"116","0.0","0.0","0.57788944","4","-1.2266000000000004","2.0","5","1.4021","0.0","2.6287000000000003"
"117","0.0","0.0","0.58291459","4","-1.2207999999999997","2.0","5","1.4088000000000003","0.0","2.6296"
"118","0.0","0.0","0.58793968","4","-1.2146999999999997","2.0","5","1.4158999999999997","0.0","2.6305999999999994"
"119","0.0","0.0","0.59296483","4","-1.2083000000000004","2.0","5","1.4234","0.0","2.6317000000000004"
"120","0.0","0.0","0.59798992","4","-1.2013999999999996","2.0","5","1.4314","0.0","2.6327999999999996"
"121","0.0","0.0","0.60301507","4","-1.1943000000000001","2.0","5","1.4397000000000002","0.0","2.6340000000000003"
"122","0.0","0.0","0.60804021","4","-1.1867","2.0","5","1.4484000000000004","0.0","2.6351000000000004"
"123","0.0","0.0","0.6130653","4","-1.1787999999999998","2.0","5","1.4576000000000002","0.0","2.6364"
"124","0.0","0.0","0.61809045","4","-1.1706000000000003","2.0","5","1.4671000000000003","0.0","2.6377000000000006"
"125","0.0","0.0","0.6231156","4","-1.162","2.0","5","1.4771","0.0","2.6391"
"126","0.0","0.0","0.62814069","4","-1.1531000000000002","2.0","5","1.4874","0.0","2.6405000000000003"
"127","0.0","0.0","0.63316584","4","-1.1437999999999997","2.0","5","1.4981999999999998","0.0","2.6419999999999995"
"128","0.0","0.0","0.63819093","4","-1.1341","2.0","5","1.5092999999999996","0.0","2.6433999999999997"
"129","0.0","0.0","0.64321607","4","-1.1241000000000003","2.0","5","1.5209000000000001","0.0","2.6450000000000005"
"130","0.0","0.0","0.64824122","4","-1.1138000000000003","2.0","5","1.5328","0.0","2.6466000000000003"
"131","0.0","0.0","0.65326631","4","-1.1031000000000004","2.0","5","1.5450999999999997","0.0","2.6482"
"132","0.0","0.0","0.65829146","4","-1.0921000000000003","2.0","5","1.5578000000000003","0.0","2.6499000000000006"
"133","0.0","0.0","0.66331655","4","-1.0807000000000002","2.0","5","1.5709","0.0","2.6516"
"134","0.0","0.0","0.6683417","4","-1.069","2.0","5","1.5842999999999998","0.0","2.6532999999999998"
"135","0.0","0.0","0.67336684","4","-1.0570000000000004","2.0","5","1.5980999999999996","0.0","2.6551"
"136","0.0","0.0","0.67839193","4","-1.0446","2.0","5","1.6123000000000003","0.0","2.6569000000000003"
"137","0.0","0.0","0.68341708","4","-1.0317999999999996","2.0","5","1.6269","0.0","2.6586999999999996"
"138","0.0","0.0","0.68844223","4","-1.0187999999999997","2.0","5","1.6417000000000002","0.0","2.6605"
"139","0.0","0.0","0.69346732","4","-1.0053999999999998","2.0","5","1.657","0.0","2.6624"
"140","0.0","0.0","0.69849247","4","-0.9916999999999998","2.0","5","1.6726","0.0","2.6643"
"141","0.0","0.0","0.70351756","4","-0.9777000000000005","2.0","5","1.6885000000000003","0.0","2.666200000000001"
"142","0.0","0.0","0.7085427","4","-0.9633000000000003","2.0","5","1.7047999999999996","0.0","2.6681"
"143","0.0","0.0","0.71356785","4","-0.9486999999999997","2.0","5","1.7214","0.0","2.6700999999999997"
"144","0.0","0.0","0.71859294","4","-0.9337","2.0","5","1.7382999999999997","0.0","2.6719999999999997"
"145","0.0","0.0","0.72361809","4","-0.9184999999999999","2.0","5","1.7554999999999996","0.0","2.6739999999999995"
"146","0.0","0.0","0.72864318","4","-0.9028999999999998","2.0","5","1.7729999999999997","0.0","2.6758999999999995"
"147","0.0","0.0","0.73366833","4","-0.8870000000000005","2.0","5","1.7908999999999997","0.0","2.6779"
"148","0.0","0.0","0.73869348","4","-0.8708999999999998","2.0","5","1.8089000000000004","0.0","2.6798"
"149","0.0","0.0","0.74371856","4","-0.8544999999999998","2.0","5","1.8273000000000001","0.0","2.6818"
"150","0.0","0.0","0.74874371","4","-0.8377999999999997","2.0","5","1.8459000000000003","0.0","2.6837"
"151","0.0","0.0","0.75376886","4","-0.8208000000000002","2.0","5","1.8647999999999998","0.0","2.6856"
"152","0.0","0.0","0.75879395","4","-0.8036000000000003","2.0","5","1.8838999999999997","0.0","2.6875"
"153","0.0","0.0","0.7638191","4","-0.7861000000000002","2.0","5","1.9032999999999998","0.0","2.6894"
