"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","4","-0.07789999999999964","2.0","5","3.2322000000000006","0.0","3.3101000000000003"
"2","0.00176056","0.0","0.00176056","4","-0.07819999999999983","2.0","5","3.232100000000001","0.0","3.3103000000000007"
"3","0.00352113","0.0","0.00352113","4","-0.07889999999999997","2.0","5","3.2316000000000003","0.0","3.3105"
"4","0.00528169","0.0","0.00528169","4","-0.08009999999999984","2.0","5","3.2308000000000003","0.0","3.3109"
"5","0.00704225","0.0","0.00704225","4","-0.08180000000000032","2.0","5","3.229800000000001","0.0","3.311600000000001"
"6","0.00880282","0.0","0.00880282","4","-0.08389999999999986","2.0","5","3.2284000000000006","0.0","3.3123000000000005"
"7","0.01056338","0.0","0.01056338","4","-0.08650000000000002","2.0","5","3.2266999999999992","0.0","3.3131999999999993"
"8","0.01232394","0.0","0.01232394","4","-0.0895999999999999","2.0","5","3.2247000000000003","0.0","3.3143000000000002"
"9","0.01408451","0.0","0.01408451","4","-0.0931999999999995","2.0","5","3.2225","0.0","3.3156999999999996"
"10","0.01584507","0.0","0.01584507","4","-0.09719999999999995","2.0","5","3.219900000000001","0.0","3.317100000000001"
"11","0.01760563","0.0","0.01760563","4","-0.10170000000000012","2.0","5","3.2170000000000005","0.0","3.3187000000000006"
"12","0.0193662","0.0","0.0193662","4","-0.10660000000000025","2.0","5","3.213800000000001","0.0","3.320400000000001"
"13","0.02112676","0.0","0.02112676","4","-0.11190000000000033","2.0","5","3.2104","0.0","3.3223000000000003"
"14","0.02288732","0.0","0.02288732","4","-0.11730000000000018","2.0","5","3.2066","0.0","3.3239"
"15","0.02464789","0.0","0.02464789","4","-0.12340000000000018","2.0","5","3.2025000000000006","0.0","3.3259000000000007"
"16","0.02640845","0.0","0.02640845","4","-0.1299999999999999","2.0","5","3.1982","0.0","3.3282"
"17","0.02816902","0.0","0.02816902","4","-0.13699999999999957","2.0","5","3.1936","0.0","3.3305999999999996"
"18","0.02992958","0.0","0.02992958","4","-0.14449999999999985","2.0","5","3.1887000000000008","0.0","3.3332000000000006"
"19","0.03169014","0.0","0.03169014","4","-0.15230000000000032","2.0","5","3.1835000000000004","0.0","3.3358000000000008"
"20","0.0334507","0.0","0.0334507","4","-0.16049999999999986","2.0","5","3.178000000000001","0.0","3.3385000000000007"
"21","0.03521127","0.0","0.03521127","4","-0.16910000000000025","2.0","5","3.1723","0.0","3.3414"
"22","0.03697183","0.0","0.03697183","4","-0.17799999999999994","2.0","5","3.1662999999999997","0.0","3.3442999999999996"
"23","0.03873239","0.0","0.03873239","4","-0.18740000000000023","2.0","5","3.1601","0.0","3.3475"
"24","0.04049296","0.0","0.04049296","4","-0.19709999999999983","2.0","5","3.1534999999999993","0.0","3.350599999999999"
"25","0.04225352","0.0","0.04225352","4","-0.20709999999999962","2.0","5","3.1468000000000007","0.0","3.3539000000000003"
"26","0.04401409","0.0","0.04401409","4","-0.21750000000000025","2.0","5","3.1396999999999995","0.0","3.3571999999999997"
"27","0.04577465","0.0","0.04577465","4","-0.22829999999999995","2.0","5","3.1324000000000005","0.0","3.3607000000000005"
"28","0.04753521","0.0","0.04753521","4","-0.23930000000000007","2.0","5","3.1249000000000002","0.0","3.3642000000000003"
"29","0.04929578","0.0","0.04929578","4","-0.25070000000000014","2.0","5","3.1171000000000006","0.0","3.367800000000001"
"30","0.05105634","0.0","0.05105634","4","-0.2623999999999995","2.0","5","3.1090999999999998","0.0","3.3714999999999993"
"31","0.05281691","0.0","0.05281691","4","-0.2743000000000002","2.0","5","3.1008999999999993","0.0","3.3751999999999995"
"32","0.05457747","0.0","0.05457747","4","-0.28659999999999997","2.0","5","3.0923999999999996","0.0","3.3789999999999996"
"33","0.05633803","0.0","0.05633803","4","-0.29910000000000014","2.0","5","3.0837000000000003","0.0","3.3828000000000005"
"34","0.0580986","0.0","0.0580986","4","-0.3120000000000003","2.0","5","3.0747999999999998","0.0","3.3868"
"35","0.05985916","0.0","0.05985916","4","-0.3250000000000002","2.0","5","3.0656999999999996","0.0","3.3907"
"36","0.06161972","0.0","0.06161972","4","-0.33840000000000003","2.0","5","3.0564","0.0","3.3948"
"37","0.06338029","0.0","0.06338029","4","-0.3520000000000003","2.0","5","3.0467999999999993","0.0","3.3987999999999996"
"38","0.06514085","0.0","0.06514085","4","-0.3658000000000001","2.0","5","3.0371000000000006","0.0","3.4029000000000007"
