"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.419","0.0","0.419","4","-3.0940000000000003","2.0","5","1.0790999999999995","0.0","4.1731"
"2","0.419","0.00248756","0.419","4","-3.0903","2.0","5","1.0794999999999995","0.0","4.1697999999999995"
"3","0.419","0.00497512","0.419","4","-3.0864000000000003","2.0","5","1.0805999999999996","0.0","4.167"
"4","0.419","0.00746269","0.419","4","-3.0824000000000003","2.0","5","1.0824999999999996","0.0","4.164899999999999"
"5","0.419","0.00995025","0.419","4","-3.0783","2.0","5","1.0851999999999995","0.0","4.163499999999999"
"6","0.419","0.01243781","0.419","4","-3.0739","2.0","5","1.0885999999999996","0.0","4.1625"
"7","0.419","0.01492537","0.419","4","-3.0695","2.0","5","1.0926","0.0","4.162100000000001"
"8","0.419","0.01741293","0.419","4","-3.0649","2.0","5","1.0973999999999995","0.0","4.1623"
"9","0.419","0.0199005","0.419","4","-3.0601000000000003","2.0","5","1.1029","0.0","4.163"
"10","0.419","0.02238806","0.419","4","-3.0552","2.0","5","1.109","0.0","4.1642"
"11","0.419","0.02487562","0.419","4","-3.0501","2.0","5","1.1158000000000001","0.0","4.165900000000001"
"12","0.419","0.02736318","0.419","4","-3.0449","2.0","5","1.1231999999999998","0.0","4.1681"
"13","0.419","0.02985075","0.419","4","-3.0396","2.0","5","1.1311999999999998","0.0","4.1708"
"14","0.419","0.03233831","0.419","4","-3.0341","2.0","5","1.1398000000000001","0.0","4.1739"
"15","0.419","0.03482587","0.419","4","-3.0284","2.0","5","1.149","0.0","4.1774000000000004"
"16","0.419","0.03731343","0.419","4","-3.0226","2.0","5","1.1586999999999996","0.0","4.1813"
"17","0.419","0.03980099","0.419","4","-3.0167","2.0","5","1.1688999999999998","0.0","4.1856"
"18","0.419","0.04228856","0.419","4","-3.0106","2.0","5","1.1796999999999995","0.0","4.1903"
"19","0.419","0.04477612","0.419","4","-3.0044","2.0","5","1.1907999999999994","0.0","4.1952"
"20","0.419","0.04726368","0.419","4","-2.998","2.0","5","1.2024","0.0","4.2004"
"21","0.419","0.04975124","0.419","4","-2.9915000000000003","2.0","5","1.2145000000000001","0.0","4.206"
"22","0.419","0.0522388","0.419","4","-2.9848000000000003","2.0","5","1.2268999999999997","0.0","4.2117"
"23","0.419","0.05472637","0.419","4","-2.978","2.0","5","1.2396000000000003","0.0","4.217600000000001"
"24","0.419","0.05721393","0.419","4","-2.9711000000000003","2.0","5","1.2527999999999997","0.0","4.2239"
"25","0.419","0.05970149","0.419","4","-2.964","2.0","5","1.2661999999999995","0.0","4.2302"
"26","0.419","0.06218905","0.419","4","-2.9568000000000003","2.0","5","1.2798999999999996","0.0","4.2367"
"27","0.419","0.06467661","0.419","4","-2.9494000000000002","2.0","5","1.2938999999999998","0.0","4.2433"
"28","0.419","0.06716418","0.419","4","-2.9419","2.0","5","1.3082000000000003","0.0","4.2501"
"29","0.419","0.06965174","0.419","4","-2.9342","2.0","5","1.3227000000000002","0.0","4.2569"
"30","0.419","0.0721393","0.419","4","-2.9265000000000003","2.0","5","1.3374999999999995","0.0","4.263999999999999"
"31","0.419","0.07462686","0.419","4","-2.9185000000000003","2.0","5","1.3524000000000003","0.0","4.270900000000001"
"32","0.419","0.07711443","0.419","4","-2.9105000000000003","2.0","5","1.3674999999999997","0.0","4.2780000000000005"
"33","0.419","0.07960199","0.419","4","-2.9023000000000003","2.0","5","1.3827999999999996","0.0","4.2851"
"34","0.419","0.08208955","0.419","4","-2.8939000000000004","2.0","5","1.3982999999999999","0.0","4.2922"
"35","0.419","0.08457711","0.419","4","-2.8855","2.0","5","1.4139","0.0","4.2994"
"36","0.419","0.08706468","0.419","4","-2.8769","2.0","5","1.4296999999999995","0.0","4.3065999999999995"
"37","0.419","0.08955224","0.419","4","-2.8681","2.0","5","1.4455999999999998","0.0","4.3137"
"38","0.419","0.0920398","0.419","4","-2.8592","2.0","5","1.4616999999999996","0.0","4.3209"
"39","0.419","0.09452736","0.419","4","-2.8502","2.0","5","1.4778000000000002","0.0","4.328"
"40","0.419","0.09701493","0.419","4","-2.8411","2.0","5","1.4940999999999995","0.0","4.3351999999999995"
"41","0.419","0.09950249","0.419","4","-2.8318000000000003","2.0","5","1.5103999999999997","0.0","4.3422"
"42","0.419","0.10199004","0.419","4","-2.8224","2.0","5","1.5268999999999995","0.0","4.3492999999999995"
"43","0.419","0.10447761","0.419","4","-2.8129","2.0","5","1.5434999999999999","0.0","4.3564"
"44","0.419","0.10696517","0.419","4","-2.8032000000000004","2.0","5","1.5601000000000003","0.0","4.363300000000001"
"45","0.419","0.10945273","0.419","4","-2.7934","2.0","5","1.5769000000000002","0.0","4.3703"
"46","0.419","0.11194029","0.419","4","-2.7835","2.0","5","1.5937000000000001","0.0","4.3772"
"47","0.419","0.11442786","0.419","4","-2.7735000000000003","2.0","5","1.6105999999999998","0.0","4.3841"
