"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-11.330400000000001","2.0","-11.3251","2.0","-11.3092","2.0","-11.2834","2.0","-11.2486","2.0","-11.2059","2.0","-11.1572","2.0","-11.1043","2.0","-11.0492","2.0","-10.994200000000001","2.0","-10.941600000000001","2.0","-10.8934","2.0","-10.8515","2.0","-10.8173","2.0","-10.792200000000001","2.0","-10.7768","2.0"
"2","-8.2021","2.0","-8.2006","2.0","-8.1961","2.0","-8.1889","2.0","-8.179","2.0","-8.1668","2.0","-8.1525","2.0","-8.1368","2.0","-8.12","2.0","-8.1028","2.0","-8.0859","2.0","-8.0699","2.0","-8.0557","2.0","-8.0437","2.0","-8.0393","2.0","-8.0413","2.0"
"3","-8.2021","2.0","-8.2006","2.0","-8.1961","2.0","-8.1889","2.0","-8.179","2.0","-8.1668","2.0","-8.1525","2.0","-8.1368","2.0","-8.12","2.0","-8.1028","2.0","-8.0859","2.0","-8.0699","2.0","-8.0557","2.0","-8.0437","2.0","-8.0348","2.0","-8.0292","2.0"
"4","-8.2021","2.0","-8.1996","2.0","-8.1919","2.0","-8.179","2.0","-8.1604","2.0","-8.1362","2.0","-8.107099999999999","2.0","-8.076","2.0","-8.0493","2.0","-8.034","2.0","-8.0291","2.0","-8.0299","2.0","-8.0329","2.0","-8.0363","2.0","-8.0348","2.0","-8.0292","2.0"
"5","-7.924300000000001","2.0","-7.924799999999999","2.0","-7.926399999999999","2.0","-7.928699999999999","2.0","-7.9314","2.0","-7.9336","2.0","-7.9335","2.0","-7.927300000000001","2.0","-7.9079999999999995","2.0","-7.9048","2.0","-7.9018","2.0","-7.898999999999999","2.0","-7.8965","2.0","-7.894399999999999","2.0","-7.892899999999999","2.0","-7.8919999999999995","2.0"
"6","-7.924300000000001","2.0","-7.9239999999999995","2.0","-7.923","2.0","-7.9215","2.0","-7.919499999999999","2.0","-7.9171","2.0","-7.914199999999999","2.0","-7.911199999999999","2.0","-7.9077","2.0","-7.867699999999999","2.0","-7.8086","2.0","-7.737399999999999","2.0","-7.661099999999999","2.0","-7.587400000000001","2.0","-7.524799999999999","2.0","-7.4823","2.0"
"7","-0.11109999999999998","2.0","-0.30909999999999993","2.0","-0.6602999999999999","2.0","-1.0338999999999998","2.0","-1.4081","2.0","-1.7765","2.0","-2.1366","2.0","-2.4863","2.0","-2.8234","2.0","-3.1452","2.0","-3.448","2.0","-3.7266","2.0","-3.9745999999999997","2.0","-4.1836","2.0","-4.3438","2.0","-4.4453","2.0"
"8","-0.11109999999999998","2.0","-0.13890000000000002","2.0","-0.2189000000000001","2.0","-0.34220000000000006","2.0","-0.49719999999999986","2.0","-0.6722999999999999","2.0","-0.8573","2.0","-1.0437999999999998","2.0","-1.2249999999999999","2.0","-1.3956","2.0","-1.5513","2.0","-1.6885","2.0","-1.8045","2.0","-1.8969","2.0","-1.9642","2.0","-2.0050999999999997","2.0"
"9","-0.11109999999999998","2.0","-0.13890000000000002","2.0","-0.2189000000000001","2.0","-0.34220000000000006","2.0","-0.49719999999999986","2.0","-0.6722999999999999","2.0","-0.8573","2.0","-1.0437999999999998","2.0","-1.2249999999999999","2.0","-1.3956","2.0","-1.5513","2.0","-1.6885","2.0","-1.8045","2.0","-1.8969","2.0","-1.9642","2.0","-2.0050999999999997","2.0"
