"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-11.261500000000002","2.0","-11.253499999999999","2.0","-11.229600000000001","2.0","-11.191300000000002","2.0","-11.1406","2.0","-11.080400000000001","2.0","-11.014299999999999","2.0","-10.9463","2.0","-10.880500000000001","2.0","-10.821000000000002","2.0","-10.7712","2.0","-10.733699999999999","2.0","-10.7105","2.0"
"2","-8.1332","2.0","-8.1309","2.0","-8.1242","2.0","-8.1134","2.0","-8.0989","2.0","-8.0813","2.0","-8.0615","2.0","-8.0405","2.0","-8.0195","2.0","-7.9999","2.0","-7.9828","2.0","-7.9696","2.0","-7.972","2.0"
"3","-8.1332","2.0","-8.1309","2.0","-8.1242","2.0","-8.1134","2.0","-8.0989","2.0","-8.0813","2.0","-8.0615","2.0","-8.0405","2.0","-8.0195","2.0","-7.9999","2.0","-7.9828","2.0","-7.9696","2.0","-7.9612","2.0"
"4","-8.1332","2.0","-8.1294","2.0","-8.1177","2.0","-8.0978","2.0","-8.0694","2.0","-8.0335","2.0","-7.9958","2.0","-7.9695","2.0","-7.960500000000001","2.0","-7.9612","2.0","-7.965","2.0","-7.9691","2.0","-7.9612","2.0"
"5","-7.8554","2.0","-7.8562","2.0","-7.8585","2.0","-7.8617","2.0","-7.8646","2.0","-7.8642","2.0","-7.853","2.0","-7.8372","2.0","-7.8333","2.0","-7.8299","2.0","-7.8269","2.0","-7.8247","2.0","-7.823300000000001","2.0"
"6","-7.8554","2.0","-7.8549","2.0","-7.8535","2.0","-7.8513","2.0","-7.8484","2.0","-7.8449","2.0","-7.8411","2.0","-7.8167","2.0","-7.7498000000000005","2.0","-7.6627","2.0","-7.5689","2.0","-7.4828","2.0","-7.421","2.0"
"7","-0.04220000000000024","2.0","-0.31630000000000025","2.0","-0.7631000000000001","2.0","-1.2245000000000001","2.0","-1.6795000000000002","2.0","-2.1222000000000003","2.0","-2.5487","2.0","-2.9546","2.0","-3.3339","2.0","-3.678","2.0","-3.9746","2.0","-4.2077","2.0","-4.358700000000001","2.0"
"8","-0.04220000000000024","2.0","-0.08410000000000029","2.0","-0.20220000000000038","2.0","-0.3779000000000001","2.0","-0.5895000000000001","2.0","-0.8172000000000001","2.0","-1.0456","2.0","-1.2627000000000002","2.0","-1.4595000000000002","2.0","-1.6293000000000002","2.0","-1.7666000000000002","2.0","-1.8675000000000002","2.0","-1.9292000000000002","2.0"
"9","-0.04220000000000024","2.0","-0.08410000000000029","2.0","-0.20220000000000038","2.0","-0.3779000000000001","2.0","-0.5895000000000001","2.0","-0.8172000000000001","2.0","-1.0456","2.0","-1.2627000000000002","2.0","-1.4595000000000002","2.0","-1.6293000000000002","2.0","-1.7666000000000002","2.0","-1.8675000000000002","2.0","-1.9292000000000002","2.0"
"10","0.5912999999999999","0.0","0.871","0.0","1.3312","0.0","1.8026","0.0","2.2417","0.0","2.6019999999999994","0.0","2.8057999999999996","0.0","2.7748999999999997","0.0","2.6471","0.0","2.5316","0.0","2.4501999999999997","0.0","2.4067999999999996","0.0","2.3983999999999996","0.0"
"11","4.4634","0.0","4.3809","0.0","4.1715","0.0","3.9031000000000002","0.0","3.6258","0.0","3.3731","0.0","3.1891999999999996","0.0","3.1266","0.0","3.0647","0.0","2.9478999999999997","0.0","2.8073999999999995","0.0","2.6742","0.0","2.5705","0.0"
"12","4.4634","0.0","4.5232","0.0","4.694999999999999","0.0","4.9605","0.0","5.2982","0.0","5.6894","0.0","6.1194999999999995","0.0","6.577699999999999","0.0","6.9258","0.0","7.3099","0.0","7.7527","0.0","8.1844","0.0","8.5215","0.0"
"13","4.4634","0.0","4.5232","0.0","4.694999999999999","0.0","4.9605","0.0","5.2982","0.0","5.6894","0.0","6.1194999999999995","0.0","6.578499999999999","0.0","7.0554","0.0","7.5436000000000005","0.0","8.0288","0.0","8.483899999999998","0.0","8.846499999999999","0.0"
