"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","9","-0.04220000000000024","2.0","10","0.5912999999999999","0.0","0.6335000000000002"
"2","0.03846154","0.0","0.03846154","9","-0.08410000000000029","2.0","10","0.871","0.0","0.9551000000000003"
"3","0.07692308","0.0","0.07692308","9","-0.20220000000000038","2.0","10","1.3312","0.0","1.5334000000000003"
"4","0.11538462","0.0","0.11538462","9","-0.3779000000000001","2.0","10","1.8026","0.0","2.1805000000000003"
"5","0.15384616","0.0","0.15384616","9","-0.5895000000000001","2.0","10","2.2417","0.0","2.8312"
"6","0.19230768","0.0","0.19230768","9","-0.8172000000000001","2.0","10","2.6019999999999994","0.0","3.4191999999999996"
"7","0.23076923","0.0","0.23076923","9","-1.0456","2.0","10","2.8057999999999996","0.0","3.8514"
"8","0.26923078","0.0","0.26923078","9","-1.2627000000000002","2.0","10","2.7748999999999997","0.0","4.037599999999999"
"9","0.30769232","0.0","0.30769232","9","-1.4595000000000002","2.0","10","2.6471","0.0","4.1066"
"10","0.34615386","0.0","0.34615386","9","-1.6293000000000002","2.0","10","2.5316","0.0","4.1609"
"11","0.38461536","0.0","0.38461536","9","-1.7666000000000002","2.0","10","2.4501999999999997","0.0","4.2168"
"12","0.42307693","0.0","0.42307693","9","-1.8675000000000002","2.0","10","2.4067999999999996","0.0","4.2743"
"13","0.46153846","0.0","0.46153846","9","-1.9292000000000002","2.0","10","2.3983999999999996","0.0","4.3275999999999994"
