"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","18","-0.06740000000000013","1.0","19","0.3190999999999997","0.0","0.38649999999999984"
"2","0.00210084","0.0","0.00210084","18","-0.0676000000000001","1.0","19","0.3207","0.0","0.3883000000000001"
"3","0.00420168","0.0","0.00420168","18","-0.06800000000000006","1.0","19","0.3251999999999997","0.0","0.39319999999999977"
"4","0.00630252","0.0","0.00630252","18","-0.0687000000000002","1.0","19","0.3325999999999998","0.0","0.4013"
"5","0.00840336","0.0","0.00840336","18","-0.0697000000000001","1.0","19","0.3426","0.0","0.4123000000000001"
"6","0.0105042","0.0","0.0105042","18","-0.07100000000000017","1.0","19","0.35489999999999977","0.0","0.42589999999999995"
"7","0.01260504","0.0","0.01260504","18","-0.07250000000000023","1.0","19","0.3689999999999998","0.0","0.4415"
"8","0.01470588","0.0","0.01470588","18","-0.07440000000000024","1.0","19","0.3849","0.0","0.45930000000000026"
"9","0.01680672","0.0","0.01680672","18","-0.07650000000000023","1.0","19","0.4020999999999999","0.0","0.47860000000000014"
"10","0.01890756","0.0","0.01890756","18","-0.07889999999999997","1.0","19","0.42049999999999965","0.0","0.4993999999999996"
"11","0.0210084","0.0","0.0210084","18","-0.08150000000000013","1.0","19","0.43989999999999974","0.0","0.5213999999999999"
"12","0.02310924","0.0","0.02310924","18","-0.08450000000000024","1.0","19","0.46009999999999973","0.0","0.5446"
"13","0.02521008","0.0","0.02521008","18","-0.08770000000000033","1.0","19","0.48109999999999964","0.0","0.5688"
"14","0.02731092","0.0","0.02731092","18","-0.09120000000000017","1.0","19","0.5025999999999997","0.0","0.5937999999999999"
"15","0.02941176","0.0","0.02941176","18","-0.09489999999999998","1.0","19","0.5246999999999997","0.0","0.6195999999999997"
"16","0.0315126","0.0","0.0315126","18","-0.09889999999999999","1.0","19","0.5471999999999997","0.0","0.6460999999999997"
"17","0.03361344","0.0","0.03361344","18","-0.10320000000000018","1.0","19","0.5701","0.0","0.6733000000000002"
"18","0.03571429","0.0","0.03571429","18","-0.10770000000000035","1.0","19","0.5932999999999997","0.0","0.7010000000000001"
"19","0.03781512","0.0","0.03781512","18","-0.11250000000000027","1.0","19","0.6168","0.0","0.7293000000000003"
"20","0.03991597","0.0","0.03991597","18","-0.11760000000000037","1.0","19","0.6405999999999996","0.0","0.7582"
"21","0.0420168","0.0","0.0420168","18","-0.12290000000000001","1.0","19","0.6645999999999996","0.0","0.7874999999999996"
"22","0.04411765","0.0","0.04411765","18","-0.12840000000000007","1.0","19","0.6887999999999996","0.0","0.8171999999999997"
"23","0.04621849","0.0","0.04621849","18","-0.13420000000000032","1.0","19","0.7132000000000001","0.0","0.8474000000000004"
"24","0.04831933","0.0","0.04831933","18","-0.1403000000000003","1.0","19","0.7378","0.0","0.8781000000000003"
"25","0.05042017","0.0","0.05042017","18","-0.14660000000000029","1.0","19","0.7624999999999997","0.0","0.9091"
"26","0.05252101","0.0","0.05252101","18","-0.15310000000000024","1.0","19","0.7872999999999997","0.0","0.9403999999999999"
"27","0.05462185","0.0","0.05462185","18","-0.15980000000000016","1.0","19","0.8123","0.0","0.9721000000000002"
"28","0.05672269","0.0","0.05672269","18","-0.16680000000000028","1.0","19","0.8372999999999999","0.0","1.0041000000000002"
"29","0.05882353","0.0","0.05882353","18","-0.17390000000000017","1.0","19","0.8624","0.0","1.0363000000000002"
"30","0.06092437","0.0","0.06092437","18","-0.18130000000000024","1.0","19","0.8876","0.0","1.0689000000000002"
"31","0.06302521","0.0","0.06302521","18","-0.18900000000000006","1.0","19","0.9129","0.0","1.1019"
"32","0.06512605","0.0","0.06512605","18","-0.19680000000000009","1.0","19","0.9382999999999999","0.0","1.1351"
"33","0.06722689","0.0","0.06722689","18","-0.2048000000000001","1.0","19","0.9636999999999998","0.0","1.1684999999999999"
"34","0.06932773","0.0","0.06932773","18","-0.2131000000000003","1.0","19","0.9890999999999996","0.0","1.2022"
"35","0.07142857","0.0","0.07142857","18","-0.22150000000000025","1.0","19","1.0145999999999997","0.0","1.2361"
"36","0.07352941","0.0","0.07352941","18","-0.2301000000000002","1.0","19","1.0400999999999998","0.0","1.2702"
"37","0.07563025","0.0","0.07563025","18","-0.2389000000000001","1.0","19","1.0655999999999999","0.0","1.3045"
"38","0.0777311","0.0","0.0777311","18","-0.2479","1.0","19","1.0911999999999997","0.0","1.3390999999999997"
"39","0.07983194","0.0","0.07983194","18","-0.25710000000000033","1.0","19","1.1166999999999998","0.0","1.3738000000000001"
"40","0.08193278","0.0","0.08193278","18","-0.2665000000000002","1.0","19","1.1422999999999996","0.0","1.4087999999999998"
"41","0.08403361","0.0","0.08403361","18","-0.27600000000000025","1.0","19","1.1677999999999997","0.0","1.4438"
"42","0.08613445","0.0","0.08613445","18","-0.2857000000000003","1.0","19","1.1934","0.0","1.4791000000000003"
"43","0.0882353","0.0","0.0882353","18","-0.2956000000000003","1.0","19","1.2188999999999997","0.0","1.5145"
"44","0.09033614","0.0","0.09033614","18","-0.3056000000000001","1.0","19","1.2443999999999997","0.0","1.5499999999999998"
"45","0.09243698","0.0","0.09243698","18","-0.3157000000000001","1.0","19","1.2698999999999998","0.0","1.5856"
"46","0.09453782","0.0","0.09453782","18","-0.3261000000000003","1.0","19","1.2953999999999999","0.0","1.6215000000000002"
"47","0.09663866","0.0","0.09663866","18","-0.3365","1.0","19","1.3207999999999998","0.0","1.6572999999999998"
"48","0.0987395","0.0","0.0987395","18","-0.3471000000000002","1.0","19","1.3461999999999996","0.0","1.6932999999999998"
"49","0.10084034","0.0","0.10084034","18","-0.35790000000000033","1.0","19","1.3714999999999997","0.0","1.7294"
"50","0.10294117","0.0","0.10294117","18","-0.36880000000000024","1.0","19","1.3967999999999998","0.0","1.7656"
"51","0.10504201","0.0","0.10504201","18","-0.37980000000000036","1.0","19","1.4219999999999997","0.0","1.8018"
"52","0.10714285","0.0","0.10714285","18","-0.39090000000000025","1.0","19","1.4470999999999998","0.0","1.838"
"53","0.1092437","0.0","0.1092437","18","-0.40210000000000035","1.0","19","1.4721999999999995","0.0","1.8742999999999999"
"54","0.11134454","0.0","0.11134454","18","-0.4135","1.0","19","1.4972999999999996","0.0","1.9107999999999996"
"55","0.11344538","0.0","0.11344538","18","-0.42500000000000027","1.0","19","1.5222000000000002","0.0","1.9472000000000005"
"56","0.11554622","0.0","0.11554622","18","-0.4366000000000003","1.0","19","1.5470000000000002","0.0","1.9836000000000005"
"57","0.11764706","0.0","0.11764706","18","-0.44830000000000014","1.0","19","1.5718","0.0","2.0201000000000002"
"58","0.1197479","0.0","0.1197479","18","-0.4601000000000002","1.0","19","1.5965000000000003","0.0","2.0566000000000004"
"59","0.12184874","0.0","0.12184874","18","-0.472","1.0","19","1.621","0.0","2.093"
"60","0.12394957","0.0","0.12394957","18","-0.4839000000000002","1.0","19","1.6454999999999997","0.0","2.1294"
"61","0.12605041","0.0","0.12605041","18","-0.496","1.0","19","1.6698","0.0","2.1658"
"62","0.12815125","0.0","0.12815125","18","-0.5082","1.0","19","1.6939999999999995","0.0","2.2021999999999995"
"63","0.13025209","0.0","0.13025209","18","-0.5204","1.0","19","1.7181000000000002","0.0","2.2385"
"64","0.13235293","0.0","0.13235293","18","-0.5327000000000002","1.0","19","1.7419999999999995","0.0","2.2746999999999997"
"65","0.13445377","0.0","0.13445377","18","-0.5451000000000001","1.0","19","1.7658","0.0","2.3109"
"66","0.13655463","0.0","0.13655463","18","-0.5576000000000001","1.0","19","1.7894999999999999","0.0","2.3471"
"67","0.13865547","0.0","0.13865547","18","-0.5701000000000003","1.0","19","1.8128999999999995","0.0","2.383"
"68","0.14075631","0.0","0.14075631","18","-0.5827000000000002","1.0","19","1.8363","0.0","2.4190000000000005"
"69","0.14285715","0.0","0.14285715","18","-0.5954000000000002","1.0","19","1.8593999999999995","0.0","2.4547999999999996"
"70","0.14495799","0.0","0.14495799","18","-0.6081000000000001","1.0","19","1.8824","0.0","2.4905"
"71","0.14705881","0.0","0.14705881","18","-0.6208000000000002","1.0","19","1.9052000000000002","0.0","2.5260000000000007"
"72","0.14915965","0.0","0.14915965","18","-0.6336000000000002","1.0","19","1.9278","0.0","2.5614"
"73","0.1512605","0.0","0.1512605","18","-0.6465000000000001","1.0","19","1.9500999999999995","0.0","2.5965999999999996"
"74","0.15336134","0.0","0.15336134","18","-0.6594000000000002","1.0","19","1.9723000000000002","0.0","2.6317000000000004"
"75","0.15546219","0.0","0.15546219","18","-0.6724000000000001","1.0","19","1.9942999999999995","0.0","2.6666999999999996"
"76","0.15756303","0.0","0.15756303","18","-0.6853000000000002","1.0","19","2.0159999999999996","0.0","2.7013"
"77","0.15966387","0.0","0.15966387","18","-0.6984000000000001","1.0","19","2.0375","0.0","2.7359"
